Front,Back
"在数学中，圆锥曲线（Conic Section）是通过哪两种几何体的交集得到的？","圆锥面与平面。"
"根据平面几何定义，到定点（焦点）的距离与到定直线（准线）的距离之比为常数的点轨迹称为圆锥曲线，该常数 $e$ 称为什么？","离心率（Eccentricity）。"
"若圆锥曲线的离心率 $e$ 满足 $0 < e < 1$，则该曲线是什么类型？","椭圆。"
"若圆锥曲线的离心率 $e = 1$，则该曲线是什么类型？","抛物线。"
"若圆锥曲线的离心率 $e > 1$，则该曲线是什么类型？","双曲线。"
"开口向上的抛物线标准方程 $x^2 = 4py$ ($p > 0$) 的焦点坐标是什么？","$F(0, p)$。"
"抛物线 $x^2 = 4py$ 的准线方程是什么？","$y = -p$。"
"抛物线 $x^2 = 4py$ 的顶点坐标是什么？","$V(0, 0)$。"
"抛物线 $y^2 = 4px$ ($p > 0$) 的开口方向是哪里？","向右。"
"抛物线 $y^2 = 4px$ 的焦点坐标是什么？","$F(p, 0)$。"
"抛物线 $y^2 = 4px$ 的准线方程是什么？","$x = -p$。"
"根据椭圆的定义，椭圆上的点到两个焦点的距离之和为一个定值，这个定值通常表示为什么？","$2a$。"
"在椭圆中，常数 $a, b, c$ 满足的几何关系式是什么？","$a^2 = b^2 + c^2$。"
"标准方程为 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ ($a > b > 0$) 的椭圆，其长轴长度是多少？","$2a$。"
"椭圆 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ ($a > b > 0$) 的焦点坐标是什么？","$(\pm c, 0)$。"
"标准方程为 $\frac{x^2}{b^2} + \frac{y^2}{a^2} = 1$ ($a > b > 0$) 的椭圆，其焦点位于哪个轴上？","$y$ 轴。"
"椭圆的离心率 $e$ 的计算公式是什么？","$e = \frac{c}{a}$。"
"中心在原点、长轴在 $x$ 轴上的椭圆，其准线方程是什么？","$x = \pm \frac{a^2}{c}$。"
"若椭圆上一点为 $P_0(x_0, y_0)$，则过该点的切线方程公式是什么？","$\frac{x_0x}{a^2} + \frac{y_0y}{b^2} = 1$。"
"在双曲线定义中，曲线上任一点到两焦点的距离之差的绝对值是一个定值，该定值表示为什么？","$2a$。"
"在双曲线中，常数 $a, b, c$ 满足的几何关系式是什么？","$c^2 = a^2 + b^2$。"
"双曲线标准方程 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ 的实轴长度是多少？","$2a$。"
"双曲线标准方程 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ 的渐近线方程是什么？","$y = \pm \frac{b}{a}x$。"
"双曲线标准方程 $\frac{y^2}{a^2} - \frac{x^2}{b^2} = 1$ 的渐近线方程是什么？","$y = \pm \frac{a}{b}x$。"
"双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ 的焦点坐标是什么？","$(\pm c, 0)$。"
"双曲线的离心率 $e$ 始终满足什么数值条件？","$e > 1$。"
"双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ 的准线方程是什么？","$x = \pm \frac{a^2}{c}$。"
"在椭圆 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ 中，焦点半径 $|PF_1|$ 用点 $P$ 的横坐标 $x$ 表示的公式是什么？","$|PF_1| = a + ex$。"
"抛物线 $(y - 2)^2 = 4(x + 2)$ 的顶点坐标是多少？","$(-2, 2)$。"
"求抛物线 $y^2 = 8x$ 的焦点坐标。","$(2, 0)$。"
"求抛物线 $x^2 = -4y$ 的准线方程。","$y = 1$。"
"已知抛物线焦点为 $(3, 2)$，顶点为 $(3, 4)$，该抛物线的开口方向是哪里？","向下。"
"对于椭圆 $\frac{x^2}{16} + \frac{y^2}{25} = 1$，其焦点坐标是什么？","$(0, \pm 3)$。"
"对于椭圆 $\frac{x^2}{16} + \frac{y^2}{25} = 1$，其离心率 $e$ 是多少？","$0.6$ 或 $\frac{3}{5}$。"
"椭圆方程 $9x^2 - 36x + 4y^2 - 24y + 36 = 0$ 化为标准形式后的中心坐标是多少？","$(2, 3)$。"
"双曲线 $\frac{x^2}{16} - \frac{y^2}{25} = 1$ 的虚轴长度是多少？","$10$。"
"若双曲线的顶点坐标为 $(-2, -1 \pm 2\sqrt{2})$ 且共轭轴长为 $4$，其开口方向是？","垂直方向（上下开口）。"
"在 AIME 竞赛要求中，解析几何部分除了圆锥曲线，还需要掌握哪种坐标系下的方程？","参数方程（Parametric Equations）。"
"在抛物线 $y^2 = 2px$ 中，过焦点 $F$ 且倾斜角为 $\alpha$ 的直线截得的焦半径公式 $|AF|$ 为何？（暗示：基于离心率定义）","$|AF| = \frac{p}{1 - \cos \alpha}$（或根据准线距离得出）。"
"如果点 $P_0(x_0, y_0)$ 在椭圆外部，通过该点引出的两条切线的切点分别为 $A$ 和 $B$，则直线 $AB$ 的方程称为什么？","极线方程（Equation of the polar line）。"
"椭圆 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ 外一点 $P_0(x_0, y_0)$ 对应的切点弦 $AB$ 方程是什么？","$\frac{x_0x}{a^2} + \frac{y_0y}{b^2} = 1$。"
"在直角坐标系中，抛物线 $y = x^2$ 与点 $Q(20, 14)$。若过 $Q$ 的直线不与抛物线相交，斜率 $m$ 满足 $r < m < s$，则 $r+s$ 的值是多少？（2014 AMC 12B）","80。"
"抛物线 $y^2 = 4px$ 的准线与焦点之间的距离是多少？","$p$。"
"对于椭圆，长轴两端点之间的距离 $2a$ 与焦距 $2c$ 的大小关系是什么？","$a > c$。"
"对于双曲线，实轴两端点之间的距离 $2a$ 与焦距 $2c$ 的大小关系是什么？","$a < c$。"
"抛物线 $x^2 = 4py$ 中，若 $p < 0$，其开口方向为何？","向下。"
"椭圆 $\frac{x^2}{49} + \frac{y^2}{9} = 1$ 的短轴长度是多少？","$6$。"
"双曲线 $x^2 - 2y^2 = 16$ 的标准方程形式是什么？","$\frac{x^2}{16} - \frac{y^2}{8} = 1$。"
"求双曲线 $\frac{y^2}{25} - \frac{x^2}{4} = 1$ 的顶点坐标。","$(0, \pm 5)$。"
"已知椭圆 $\frac{x^2}{9} + \frac{y^2}{4} = 1$ 上的点 $P$ 满足 $|PF_1|:|PF_2| = 2:1$，求 $\triangle PF_1F_2$ 的面积。","4。"
"直线 $y = mx + b$ 与椭圆 $x^2 + 2y^2 = 3$ 恒有交点的充要条件是 $b$ 的取值范围是什么？","$[-\frac{\sqrt{6}}{2}, \frac{\sqrt{6}}{2}]$。"
"圆锥曲线中，连接两个顶点的线段在双曲线中称为什么轴？","实轴（Transverse axis）。"
"圆锥曲线中，连接两个顶点的线段在椭圆中称为什么轴？","长轴（Major axis）。"
"在抛物线 $y^2 = 4x$ 中，焦点 $F$ 的坐标是什么？","$(1, 0)$。"
"若双曲线方程为 $9x^2 - 36y^2 = 25$，则其离心率 $e$ 为多少？","$\frac{\sqrt{37}}{6}$（注：化为标准型后计算）。"
"椭圆 $\frac{(x-3)^2}{9} + \frac{y^2}{16} = 1$ 的中心在哪里？","$(3, 0)$。"
"抛物线 $x = \frac{1}{12}y^2$ 的焦点到顶点的距离是多少？","$3$。"
"双曲线的离心率定义 $e = \frac{c}{a}$ 中，$c$ 的几何意义是什么？","中心到焦点的距离（半焦距）。"
"抛物线 $y^2 = 8x$ 上的点到焦点距离的最小值是多少？","$2$（顶点到焦点的距离）。"
"对于方程 $x^2 - 4y^2 + 16 = 0$，这是一个什么类型的曲线？","开口向上的双曲线。"
