Front,Back
"十进制数（Decimal）通常由哪三个部分组成？","整数部分、小数点和小数部分。"
"在十进制位值表中，小数点右侧的第一位和第二位分别称为什么？","十分位（Tenths）和百分位（Hundredths）。"
"一个最简分数 $\frac{a}{b}$ 能化为有限小数（Terminating Decimal）的充分必要条件是什么？","分母 $b$ 的质因数仅包含 2 或 5（或两者都有）。"
"如果一个最简分数的分母含有 2 和 5 以外的质因数，该分数会化为什么形式？","循环小数（Repeating Decimal）。"
"循环小数 $0.\overline{4}$ 化为最简分数是多少？","$\frac{4}{9}$"
"循环小数 $0.\overline{35}$ 化为最简分数是多少？","$\frac{35}{99}$"
"如何确定纯循环小数 $1/n$ 循环节（Repeating Block）的长度？","它是使由 9 组成的数能被 $n$ 整除的最小 9 的个数。"
"分数 $1/11$ 的循环节长度是多少？","2（因为 $99/11=9$）。"
"分数 $1/37$ 的循环节长度是多少？","3（因为 $999/37=27$）。"
"将带有非循环部分的循环小数化为分数时，分母的 $9$ 和 $0$ 的个数如何确定？","$9$ 的个数等于循环节位数，$0$ 的个数等于非循环部分的位数。"
"在 $b$ 进制系统中，用来表示数字的符号范围是多少？","$0$ 到 $b-1$。"
"计算机内部几乎全都使用的计数系统是什么？","二进制（Binary/Base 2）。"
"十六进制（Hexadecimal）中使用哪些字母来表示 $10$ 到 $15$？","$A$ 到 $F$。"
"将 $b$ 进制数 $(d_k d_{k-1} \dots d_0)_b$ 转换为十进制数的公式是什么？","$\sum_{i=0}^{k} d_i \cdot b^i$"
"将十进制整数转换为 $b$ 进制数的标准方法是什么？","除以 $b$ 取余法（反复除以 $b$ 直到商为 $0$，余数逆序排列）。"
"若要将 $b_1$ 进制数转换为 $b_2$ 进制数，通常的中转步骤是什么？","先将 $b_1$ 进制转换为十进制，再将十进制转换为 $b_2$ 进制。"
"一个数在 $12$ 进制下是三位数，在 $8$ 进制下是四位数，这类问题的核心限制条件是什么？","$12^2 \le n < 12^3$ 且 $8^3 \le n < 8^4$。"
