Front,Back
"若两个三角形具有相等的底边和相等的高，它们的面积关系是什么？","面积相等"
"在三角形中，由顶点引出的线段（Cevian）将底边分为 $AD$ 和 $DB$，则两个子三角形的面积比 $\frac{[AED]}{[BED]}$ 等于什么？","$\frac{AD}{DB}$"
"已知三角形的三边 $a, b, c$，海伦公式 (Heron's Formula) 计算面积的公式是什么（$p$ 为半周长）？","$A = \sqrt{p(p-a)(p-b)(p-c)}$"
"使用外接圆半径 $R$ 表示三角形面积的公式是什么？","$A = \frac{abc}{4R}$"
"使用内切圆半径 $r$ 和半周长 $p$ 表示三角形面积的公式是什么？","$A = pr$"
"已知平行四边形的两邻边 $a, b$ 及其夹角 $\theta$，面积公式是什么？","$A = a \times b \times \sin \theta$"
"已知菱形的两条对角线长度分别为 $u$ 和 $v$，其面积公式是什么？","$A = \frac{uv}{2}$"
"已知任意四边形的两条对角线长度为 $u, v$ 且夹角为 $\alpha$，其面积公式是什么？","$A = \frac{uv \sin \alpha}{2}$"
"扇形面积公式中，若已知弧长 $l$ 和半径 $r$，面积 $A$ 等于什么？","$A = \frac{lr}{2}$"
"皮克定理 (Pick's Theorem) 中，多边形的面积 $A$ 与内部格点数 $i$ 及边界格点数 $b$ 的关系式是什么？","$A = i + \frac{b}{2} - 1$"
"鞋带定理 (Shoelace Theorem) 用于计算已知哪个信息的坐标平面多边形的面积？","顶点坐标"
"布雷特施奈德公式 (Bretschneider's Formula) 用于计算哪类图形的面积？","任意四边形"
"婆罗摩笈多公式 (Brahmagupta's Formula) 是计算哪种特殊四边形面积的公式？","圆内接四边形"
"在所有边长给定的四边形中，哪种四边形的面积最大？","圆内接四边形"
"在圆内接四边形中，若对角线夹角为 $\alpha$，则 $\sin \alpha$ 与对角线 $u, v$ 及边长的关系式是什么？","$\sin \alpha = \frac{2\sqrt{(p-a)(p-b)(p-c)(p-d)}}{uv}$"
"根据披萨定理 (Pizza Theorem)，若圆被 $N$ 条过同一点的等角割线分割，且 $N$ 为偶数，当 $N$ 满足什么条件时两人的面积相等？","$N \ge 4$"
"弧度制下，半径为 $r$、圆心角为 $\theta$ 的扇形面积公式是什么？","$A = \frac{1}{2}r^2\theta$"
"‘星际迷航’定理 (Star Trek Theorem) 指出，同弧所对的圆心角是圆周角的几倍？","2倍"
"弦切角定理 (Tangent Chord Theorem) 指出，弦切角的大小等于它所夹弧对的圆周角的几倍？","1倍（或弧度数的一半）"
"圆内接四边形的对角具有什么数量关系？","互补（和为 $180^{\circ}$）"
"垂径定理中，垂直于弦的直径具有什么性质？","平分弦且平分弦所对的两条弧"
"若圆 $O$ 的弦 $AB$ 所在直线外一点 $C$ 移动，什么时候 $\angle ACB$ 达到最大值？（最大视角问题）","当 $\Delta ABC$ 的外接圆与该直线相切于 $C$ 点时"
"从圆外一点向圆引两条切线，切线长具有什么关系？","相等"
"已知两圆半径分别为 $R$ 和 $r$，圆心距为 $d$，两圆外切的条件是什么？","$d = R + r$"
"已知两圆半径分别为 $R$ 和 $r$ ($R > r$)，圆心距为 $d$，两圆内切的条件是什么？","$d = R - r$"
"直角三角形 $ABC$ ($\\angle C=90^{\circ}$) 的内切圆半径 $r$ 可以通过边长 $a, b, c$ 如何快速计算？","$r = \frac{a+b-c}{2}$"
"两圆半径为 $r_1, r_2$，圆心距为 $d$，外公切线的长度公式是什么？","$\sqrt{d^2 - (r_1 - r_2)^2}$"
"两圆半径为 $r_1, r_2$，圆心距为 $d$，内公切线的长度公式是什么？","$\sqrt{d^2 - (r_1 + r_2)^2}$"
"两圆相交时，连接两个交点的线段称为什么？","公共弦 (Common Chord)"
"辅助线技巧：在直角三角形中，通常构造斜边上的什么线？","中线"
"辅助线技巧：当看到图形是其他图形的一部分时，应该采取什么行动？","补全原图形"
"解析几何中，已知两点 $(x_1, y_1)$ 和 $(x_2, y_2)$，其距离公式是什么？","$d = \sqrt{(x_2 - x_1)^2 + (y_2 - y_1)^2}$"
"已知三角形顶点为 $(x_1, y_1), (x_2, y_2), (x_3, y_3)$，其重心坐标如何表示？","$(\frac{x_1+x_2+x_3}{3}, \frac{y_1+y_2+y_3}{3})$"
"直线的截距式方程是什么形式（$a$ 为 $x$ 截距，$b$ 为 $y$ 截距）？","$\frac{x}{a} + \frac{y}{b} = 1$"
"若两条直线垂直，它们的斜率 $k_1$ 和 $k_2$ 满足什么关系？","$k_1 \times k_2 = -1$"
"点 $(x_0, y_0)$ 到直线 $Ax + By + C = 0$ 的距离公式是什么？","$d = \frac{|Ax_0 + By_0 + C|}{\sqrt{A^2 + B^2}}$"
"两条平行直线 $Ax + By + C_1 = 0$ 和 $Ax + By + C_2 = 0$ 之间的距离公式是什么？","$d = \frac{|C_1 - C_2|}{\sqrt{A^2 + B^2}}$"
"圆的标准方程 $(x-a)^2 + (y-b)^2 = r^2$ 中，圆心坐标是什么？","$(a, b)$"
"圆的一般方程 $x^2 + y^2 + Ax + By + C = 0$ 的圆心坐标是什么？","$(-\frac{A}{2}, -\frac{B}{2})$"
"圆的一般方程 $x^2 + y^2 + Ax + By + C = 0$ 的半径 $r$ 如何表示？","$r = \sqrt{\frac{A^2 + B^2 - 4C}{4}}$"
"若已知圆的直径两端点为 $(x_1, y_1)$ 和 $(x_2, y_2)$，圆的方程可以表示为什么？","$(x-x_1)(x-x_2) + (y-y_1)(y-y_2) = 0$"
"判断直线与圆位置关系时，若圆心到直线的距离 $d < r$，则直线与圆的关系是什么？","相交"
"已知两个圆的方程 $C_1$ 和 $C_2$，它们的公共弦所在直线的方程如何通过两方程求得？","$C_1 - C_2 = 0$ (消去二次项)"
"球体的表面积公式是什么？","$4\pi r^2$"
"球体的体积公式是什么？","$\frac{4}{3}\pi r^3$"
"圆锥的体积公式是什么？","$\frac{1}{3}\pi r^2 h$"
"棱台或圆台（Frustum）的体积公式是什么（$B_1, B_2$ 为底面积）？","$V = \frac{h}{3}(B_1 + \sqrt{B_1 B_2} + B_2)$"
"边长为 $a$ 的正四面体（Regular Tetrahedron）的高 $h$ 是多少？","$h = \frac{\sqrt{6}}{3} a$"
"边长为 $a$ 的正四面体的体积 $V$ 是多少？","$V = \frac{\sqrt{2}}{12} a^3$"
"正四面体的内切球半径 $r$ 与外接球半径 $R$ 的比例是多少？","$1:3$ (或 $r = \frac{1}{4}h$)"
"正四面体的四条中线交于一点，该点将每条中线分成几比几的比例？","$1:3$"
"在解析几何中，两条直线的夹角 $\theta$ 的正切值公式是什么？","$\tan \theta = |\frac{k_1 - k_2}{1 + k_1 k_2}|$"
