Front,Back
"在组合博弈论中，什么是“获胜位置”（Winning Position）？","指存在某种移动方式，可以立即获胜或使对手陷入“失败位置”的当前状态。"
"在组合博弈论中，什么是“失败位置”（Losing Position）？","指所有可能的移动都会导致对手进入“获胜位置”的当前状态。"
"组合博弈论中提到的三种常用分析策略是什么？","尝试较小情况（Try a smaller game）、逆向工作（Work Backwards）和对称策略（Symmetry）。"
"在两人分巧克力棒博弈中（沿线切割），一个 $m \times n$ 的巧克力棒被完全分成单位正方形所需的总移动次数是多少？","$m \times n - 1$ 次。"
"在 $4 \times 6$ 巧克力棒分割游戏中，最后一次移动者获胜，哪方玩家有必胜策略？","第一名玩家（因为总移动次数为 23 次，奇数次移动意味着先行者总是最后一步）。"
"在圆桌上交替放置互不重叠硬币的游戏中，获胜的通用策略是什么？","对称策略（Symmetry Strategy）。"
"在圆桌硬币博弈中，第一名玩家如何确保获胜？","第一步将硬币放在圆桌中心，随后无论对手放在何处，都放在其相对于中心的对称位置。"
"什么是 Cram 博弈（Cram Game）？","玩家从一堆石头中移除当前石头总数的一个约数，取走最后一颗石头的人输掉比赛。"
"在 $m \times n$ 棋盘上放置 $1 \times 2$ 骨牌博弈中，若 $m, n$ 均为偶数且最后放者胜，谁会赢？","第二名玩家。"
"在 $m \times n$（$m, n$ 为偶数）棋盘骨牌博弈中，第二名玩家的获胜策略是什么？","使用中心对称策略，响应第一名玩家在对称位置放置骨牌。"
"在 $m$ 为奇数、$n$ 为偶数的棋盘骨牌博弈中，谁会获胜？","第一名玩家。"
"在 $m$ 奇 $n$ 偶的棋盘骨牌博弈中，第一名玩家的第一步应当是什么？","将骨牌放置在棋盘中心的两个方格上。"
"在 $3 \times 3$ 的棋盘放置 $1 \times 2$ 骨牌博弈中，获胜方是谁？","第二名玩家。"
"Barbara（取2或4枚）与 Jenna（取1或3枚）的硬币博弈中，总数为 2013 枚硬币时谁赢？","Jenna。"
"Barbara（取2或4枚）与 Jenna（取1或3枚）的硬币博弈中，总数为 2014 枚硬币时谁赢？","无论谁先手，只要使用最佳策略，Jenna 都会赢。"
"在实数区间 $[0, n]$（$n > 4$）选数游戏中，选出的数必须与之前选出的数相距 1 单位以上，谁有必胜策略？","Bela（第一名玩家）。"
"Bela 在实数区间 $[0, n]$ 选数博弈中的必胜策略是什么？","第一步选择区间的中点 $\frac{n}{2}$，之后使用对称策略。"
"在墙上移除砖块的游戏中，每次移除一个或两个相邻砖块，这种博弈属于哪种类型的变体？","Nim 博弈（或称海普斯博弈 Heaps）。"
"Seth 与 Cain 的 1-50 整数对博弈（选一对 $(x, 2x)$ 且不重复）中，谁有必胜策略？","Seth（第一名玩家）。"
"Heaps 博弈的规则中，玩家可以移除 2 个芯片的前提条件是什么？","该堆必须恰好包含 2 个芯片。"
"在多堆 Heaps 博弈分析中，变量 $A$ 代表什么？","恰好包含 2 个芯片的堆的数量。"
"在多堆 Heaps 博弈分析中，变量 $B$ 代表什么？","包含单芯片或大于 2 个偶数芯片的堆的数量。"
"Heaps 博弈中，判定获胜位置的条件是什么？","变量 $A$ 或 $B$ 中至少有一个为奇数。"
"Nim 博弈（Nim Game）的规则是什么？","每一轮玩家可以从任意一堆中移除任意数量的芯片。"
"Nim 博弈中，如果有两堆且芯片数量相等，谁会获胜？","第二名玩家（通过复制对方的动作）。"
"如何使用二进制表示法判断 Nim 博弈的失败位置（Losing Positions）？","所有堆芯片数量的二进制位在每个数位上的 1 的个数之和均为偶数（即异或和为 0）。"
"在芯片数为 $1$，$n$，$n+1$ 的三堆 Nim 博弈中，初始位置的状态是什么？","失败位置（Losing Position），因为异或和总是为 0。"
"在 Split 博弈中，玩家的动作包含哪两个步骤？","移除一堆，并向另一堆拆分成两堆新的非空堆。"
