Front,Back
"根据二项式定理，$(x+y)^n$ 展开式中 $x^{n-k}y^k$ 项的系数是什么？","$\binom{n}{k}$"
"二项式系数之和 $\sum_{k=0}^{n} \binom{n}{k}$ 的值等于多少？","$2^n$"
"对于 $n \ge 1$，交错项二项式系数之和 $\binom{n}{0} - \binom{n}{1} + \dots + (-1)^n \binom{n}{n}$ 的值是多少？","$0$"
"在多项式展开式 $(x_1 + x_2 + \dots + x_m)^n$ 中，项 $\prod_{t=1}^{m} x_t^{k_t}$ 的系数 $\binom{n}{k_1, k_2, \dots, k_m}$ 如何计算？","$\frac{n!}{k_1! k_2! \dots k_m!}$"
"在帕斯卡三角形（杨辉三角）中，除边缘外，任意一个数等于其_____。","上方左右相邻的两个数之和"
"广义二项式定理 $(1+z)^{\alpha} = \sum_{k=0}^{\infty} \binom{\alpha}{k} z^k$ 的成立条件是什么？","$|z| < 1$"
"如果所有结果出现的概率均相等，计算事件 $A$ 的古典概率 $P(A)$ 的基本公式是什么？","$P(A) = \frac{\text{事件 A 包含的结果数}}{\text{所有可能的结果总数}}$"
"如果事件 $A$ 和 $B$ 是互斥事件（Mutually Exclusive），那么 $P(A \text{ 或 } B)$ 的概率是多少？","$P(A) + P(B)$"
"互补事件原理：对于任意事件 $A$，其概率 $P(A)$ 与其不发生的概率 $P(A^c)$ 之和为多少？","$1$"
"若事件 $A$ 与 $B$ 相互独立（Independent），则它们同时发生的概率 $P(A \cap B)$ 为多少？","$P(A) \times P(B)$"
"二项分布 $B(n, p)$ 中 $P(X=k)$ 是多少？","$\binom{n}{k} p^k (1-p)^{n-k}$"
"条件概率定义：在已知事件 $A$ 发生的条件下，事件 $B$ 发生的概率 $P(B|A)$ 是多少？","$\frac{P(A \cap B)}{P(A)}$"
"几何概率（Geometric Probability）的基本思想是将成功可能性表示为_____之比。","几何区域的大小（测度）"
"离散随机变量 $X$ 的期望值 $E(X)$ 被定义为各项取值与其对应_____的乘积之和。","概率"
"期望值的线性性质：对于任意随机变量 $X$ 和 $Y$，$E(X+Y) = $ _____。","$E(X) + E(Y)$"
"期望值的线性性质是否要求随机变量之间必须相互独立？","不要求"
"二项分布 $X \sim B(n, p)$ 的期望值 $E(X)$ 等于多少？","$np$"
"将 12 封写好的信随机装入 12 个对应的信封，信件入对信封的期望个数是多少？","$1$"
"在杨辉三角中，第 $n$ 行所有元素的平方和 $\sum_{k=0}^{n} \binom{n}{k}^2$ 等于多少？","$\binom{2n}{n}$"
"判断两个随机变量是否独立的公式条件是 $P(X=x, Y=y) = $ _____。","$P(X=x)P(Y=y)$"
"在贝叶斯筛查测试示例中，由于疾病极其稀少，阳性结果后依然不患病的概率较高的现象称为什么？","假阳性 (False Positive)"
"在几何概率中，若 $x \in [0, 3]$，则满足 $|x-1| \le 1/2$ 的概率是多少？","$1/3$"
"对于不公平骰子 $P(6)=2/3$，连续掷两次都是 6 的概率是多少？","$4/9$"
"多项式 $(x+y+z)^n$ 的不同项（不含系数）共有多少个？","$\binom{n+2}{2}$"
"对于单位正方形内的随机点 $P$，其到原点距离小于 $1$ 的概率是多少？","$\pi/4$"
