Front,Back
"根据二项式定理，$(x+y)^n$ 展开式中 $x^{n-k}y^k$ 项的系数是什么？","$\binom{n}{k}$"
"二项式系数之和 $\sum_{k=0}^{n} \binom{n}{k}$ 的值等于多少？","$2^n$"
"对于 $n \ge 1$，交错项二项式系数之和 $\binom{n}{0} - \binom{n}{1} + \dots + (-1)^n \binom{n}{n}$ 的值是多少？","$0$"
"在多项式展开式 $(x_1 + x_2 + \dots + x_m)^n$ 中，项 $\prod_{t=1}^{m} x_t^{k_t}$ 的系数 $\binom{n}{k_1, k_2, \dots, k_m}$ 如何计算？","$\frac{n!}{k_1! k_2! \dots k_m!}$"
"在帕斯卡三角形（杨辉三角）中，除边缘外，任意一个数等于其_____。","上方左右相邻的两个数之和"
"广义二项式定理 $(1+z)^{\alpha} = \sum_{k=0}^{\infty} \binom{\alpha}{k} z^k$ 的成立条件是什么？","$|z| < 1$"
"如果所有结果出现的概率均相等，计算事件 $A$ 的古典概率 $P(A)$ 的基本公式是什么？","$P(A) = \frac{\text{事件 A 包含的结果数}}{\text{所有可能的结果总数}}$"
"如果事件 $A$ 和 $B$ 是互斥事件（Mutually Exclusive），那么 $P(A \text{ 或 } B)$ 的概率是多少？","$P(A) + P(B)$"
"互补事件原理：对于任意事件 $A$，其概率 $P(A)$ 与其不发生的概率 $P(A^c)$ 之和为多少？","$1$"
"若事件 $A$ 与 $B$ 相互独立（Independent），则它们同时发生的概率 $P(A \cap B)$ 为多少？","$P(A) \times P(B)$"
"二项分布 $B(n, p)$ 的概率质量函数（PMF）$P(X=k)$ 是多少？","$\binom{n}{k} p^k (1-p)^{n-k}$"
"条件概率定义：在已知事件 $A$ 发生的条件下，事件 $B$ 发生的概率 $P(B|A)$ 是多少？","$\frac{P(A \cap B)}{P(A)}$"
"贝叶斯公式（Bayes's Formula）中，分母 $\sum_{j} P(A|B_j)P(B_j)$ 代表的是什么？","事件 $A$ 发生的总概率（全概率公式）"
"几何概率（Geometric Probability）的基本思想是将成功可能性表示为_____之比。","几何区域的大小（测度）"
"离散随机变量 $X$ 的期望值 $E(X)$ 被定义为各项取值与其对应_____的乘积之和。","概率"
"期望值的线性性质：对于任意随机变量 $X$ 和 $Y$，$E(X+Y) = $ _____。","$E(X) + E(Y)$"
"期望值的线性性质是否要求随机变量之间必须相互独立？","不要求"
"二项分布 $X \sim B(n, p)$ 的期望值 $E(X)$ 等于多少？","$np$"
"二项分布 $X \sim B(n, p)$ 的方差 $Var(X)$ 等于多少？","$np(1-p)$"
"泊松分布 $Po(\lambda)$ 中，随机变量取值为 $r$ 的概率公式是什么？","$e^{-\lambda} \times \frac{\lambda^r}{r!}$"
"泊松分布 $Po(\lambda)$ 的期望值和方差分别是多少？","两者均等于 $\lambda$"
"连续均匀分布 $U(a, b)$ 的期望值 $E(X)$ 是多少？","$\frac{a+b}{2}$"
"连续均匀分布 $U(a, b)$ 的方差 $Var(X)$ 是多少？","$\frac{(b-a)^2}{12}$"
"指数分布 $Exp(\lambda)$ 具有的独特性质 $P(X > a+b | X > a) = P(X > b)$ 称为什么？","无记忆性 (Memoryless Property)"
"标准正态分布 $N(0, 1^2)$ 的期望值和标准差分别是多少？","期望值为 $0$，标准差为 $1$"
