Front,Back
"统计学中，平均数 (Mean)、中位数 (Median) 和众数 (Mode) 统称为 _____。","集中趋势 (Central tendency) 的度量。"
"计算分组数据平均数 $\bar{x}$ 的公式是什么？","$\bar{x} = \frac{\sum xf}{\sum f}$。"
"对于包含 $n$ 个数据项的有序序列，中位数 (Median) 是第几项的值？","第 $\frac{n+1}{2}$ 项。"
"什么是众数类 (Modal class)？","在等宽分组的连续数据中，包含数据最多的那一组。"
"极差 (Range)、方差 (Variance) 和标准差 (Standard deviation) 统称为 _____。","离散程度 (Spread/Variation/Dispersion) 的度量。"
"总体方差 (Variance) 的基本计算公式是什么？","$\frac{\sum (x-\bar{x})^2}{n}$。"
"标准差 (Standard deviation) 的另一种常用替代计算形式是什么？","$\sqrt{\frac{\sum x^2 f}{\sum f} - \bar{x}^2}$。"
"总体方差 $\sigma^2$ 的无偏估计量，即样本方差 $s^2$ 的计算公式是什么？","$s^2 = \frac{\sum (x - \bar{x})^2}{n - 1}$。"
"在统计制图中，使用“正”字计数的快速分组方法称为 _____。","划记 (Tallying)。"
"在饼图 (Pie Graph) 中，每个扇区的面积或圆心角与什么成正比？","该类别数据的频率 (Frequency)。"
"直方图 (Histogram) 与条形图 (Bar chart) 在外观上的主要区别是什么？","直方图的各柱体之间没有空隙。"
"在直方图中，每个柱体的面积表示该组数据的 _____。","频数 (Frequency)。"
"当直方图的类宽度不相等时，应使用哪个指标作为纵轴？","频数密度 (Frequency density)。"
"频数密度 (Frequency density) 的计算公式是什么？","频数密度 = $\frac{\text{频数}}{\text{类宽度}}$。"
"茎叶图 (Stem-and-leaf graph) 相比其他图表的一个主要优势是什么？","它保留了所有的原始数据值。"
"散点图 (Scatter plot) 主要用于展示两组变量之间的 _____。","相关性或关系 (Relationship)。"
"四分位距 (IQR) 的计算公式是什么？","$IQR = Q3 - Q1$。"
"对于较小的数据集，若数据项总数 $n$ 为奇数，在寻找 $Q1$ 和 $Q3$ 时应如何处理中位数？","排除中位数，再分别计算上下两半部分的中位数。"
"在累积频数曲线中，上四分位数 $Q3$ 对应累计频数的哪个位置？","$\frac{3}{4}n$。"
"统计学中判定异常值 (Outlier) 的常用标准（1.5倍四分位距法则）的上限是什么？","$Q3 + 1.5 \times (Q3 - Q1)$。"
