Front,Back
"二次方程 $ax^{2} + bx + c = 0$ ($a \ne 0$) 的判别式 $\Delta$ 是如何定义的？","$\Delta = b^{2} - 4ac$"
"当二次方程的判别式 $\Delta = 0$ 时，方程根的性质是什么？","方程有两个相等的实数根。"
"当二次方程的判别式 $\Delta < 0$ 时，方程根的性质是什么？","方程有两个共轭复数根。"
"二次函数 $y = ax^{2} + bx + c$ 的顶点式（Vertex Form）是什么？","$y = a(x - h)^{2} + k$"
"二次函数 $y = ax^{2} + bx + c$ 的顶点坐标 $(h, k)$ 的公式是什么？","$(-\frac{b}{2a}, \frac{4ac - b^{2}}{4a})$"
"韦达定理（Vieta's Theorem）指出，二次方程 $ax^{2} + bx + c = 0$ 的两根之和 $x_{1} + x_{2} = $ _____。","$-\frac{b}{a}$"
"韦达定理（Vieta's Theorem）指出，二次方程 $ax^{2} + bx + c = 0$ 的两根之积 $x_{1}x_{2} = $ _____。","$\frac{c}{a}$"
"什么是“首一多项式”（Monic Polynomial）？","最高次项系数（Leading Coefficient）为 $1$ 的多项式。"
"多项式除法算法中，若 $f(x) = g(x) \cdot q(x) + r(x)$，余式 $r(x)$ 的次数必须满足什么条件？","$deg(r) < deg(g)$"
"余数定理（Remainder Theorem）的内容是什么？","多项式 $p(x)$ 除以一次项 $x - c$ 所得的余数等于 $p(c)$。"
"因式定理（Factor Theorem）的内容是什么？","$c$ 是多项式 $p(x)$ 的根的充分必要条件是 $x - c$ 是 $p(x)$ 的一个因式。"
"代数基本定理（Fundamental Theorem of Algebra）指出，任意次数 $n \ge 1$ 的复系数多项式至少有 _____。","一个复数根（或恰好 $n$ 个计入重数的复数根）。"
"有理根定理（Rational Root Theorem）中，若 $\frac{p}{q}$ 是整系数方程 $a_{n}x^{n} + \dots + a_{0} = 0$ 的根，则 $p$ 必须整除 _____。","常数项 $a_{0}$"
"有理根定理（Rational Root Theorem）中，若 $\frac{p}{q}$ 是整系数方程 $a_{n}x^{n} + \dots + a_{0} = 0$ 的根，则 $q$ 必须整除 _____。","最高次项系数 $a_{n}$"
"对于三次方程 $az^{3} + bz^{2} + cz + d = 0$，其三根之和 $\sum \alpha$ 等于多少？","$-\frac{b}{a}$"
"对于三次方程 $az^{3} + bz^{2} + cz + d = 0$，其两两根乘积之和 $\sum \alpha\beta$ 等于多少？","$\frac{c}{a}$"
"对于三次方程 $az^{3} + bz^{2} + cz + d = 0$，其三根之积 $\alpha\beta\gamma$ 等于多少？","$-\frac{d}{a}$"
"对于 $n$ 次方程 $a_{n}x^{n} + a_{n-1}x^{n-1} + \dots + a_{0} = 0$，其所有根的乘积等于多少？","$(-1)^{n} \frac{a_{0}}{a_{n}}$"
"如果一个实系数多项式有一个虚根 $a + bi$，则它的另一个根必然是什么？","该虚根的共轭复数 $a - bi$。"
"牛顿恒等式（Newton's Identities）中，$s_{k}$ 代表什么？","多项式所有根的 $k$ 次幂之和。"
"笛卡尔符号法则（Descartes' Rule of Signs）的主要用途是什么？","确定多项式正实根和负实根可能的数量。"
"在笛卡尔符号法则中，正实根的最大数量等于 $P(x)$ 系数序列中 _____ 的次数。","符号改变"
"如何利用笛卡尔符号法则求负实根的数量？","考查 $P(-x)$ 系数序列中符号改变的次数。"
"拉格朗日插值法（Lagrange Interpolation）中，若给定 $n$ 个互异点 $(a_{i}, b_{i})$，所确定的唯一多项式的次数最高是多少？","$n - 1$"
"有限差分算子 $\Delta p(x)$ 的定义是什么？","$\Delta p(x) = p(x + 1) - p(x)$"
"若 $p(x)$ 是一个 $n$ 次多项式，则其 $n + 1$ 阶差分 $\Delta^{n+1}p(x)$ 等于多少？","$0$"
"若 $p(x)$ 是一个 $n$ 次首一多项式，则其 $n$ 阶差分 $\Delta^{n}p(x)$ 等于多少？","$n!$"
"什么是第一阶初等对称多项式 $e_{1}(a, b, c, d)$？","$a + b + c + d$"
"什么是第四阶初等对称多项式 $e_{4}(a, b, c, d)$？","$abcd$"
"当多项式的根 $c$ 的重数（Multiplicity）为偶数且大于 $1$ 时，函数图象在 $x = c$ 处与 $x$ 轴的关系是？","图象与 $x$ 轴相切但并不穿过 $x$ 轴（触碰并反弹）。"
"当多项式的根 $c$ 的重数为奇数且大于 $1$ 时，函数图象在 $x = c$ 处与 $x$ 轴的关系是？","图象穿过 $x$ 轴，且在交点附近变得平缓。"
"对于二次函数 $y = ax^{2} + bx + c$，若 $a > 0$，则图象开口方向向 _____。","上"
"二次函数 $y = ax^{2} + bx + c$ 图象的对称轴方程是什么？","$x = -\frac{b}{2a}$"
"综合除法（Synthetic Division）通常用于除以哪种类型的因式？","形如 $x - c$ 的线性因式。"
"完全分解定理说明，任意 $n$ 次多项式 $P(x)$ 都可以分解为 $a(x - c_{1})(x - c_{2})\dots(x - c_{n})$，其中 $c_{i}$ 是什么？","$P(x)$ 的复数零点（Roots）。"
"初等对称多项式基本定理指出，任何对称多项式都可以表示为 _____ 的多项式。","初等对称多项式（Elementary Symmetric Polynomials）"
"在四次方程 $ax^{4} + bx^{3} + cx^{2} + dx + e = 0$ 中，三根乘积之和 $\sum \alpha\beta\gamma$ 等于多少？","$-\frac{d}{a}$"
