Front,Back
"在组合计数中，什么是“一对应关系”（1-1 correspondence）的基本思想？","若集合 $A$ 难以计数，则寻找一个与其元素数量相等且易于计数的集合 $B$，通过计算 $B$ 的大小来得出 $A$ 的大小。"
"在一对应关系中，集合 $A$ 和集合 $B$ 必须满足什么条件才能确保它们的元素数量相等？","集合 $A$ 与集合 $B$ 之间必须存在一个双射（Bijections）。"
"在一个由 $m \times n$ 个小矩形组成的网格中，矩形的总数可以通过什么公式计算？","矩形总数为 $\binom{m+1}{2} \times \binom{n+1}{2}$。"
"若平面内有 $n$ 条平行线与另一方向的 $m$ 条平行线相交，它们构成的平行四边形总数是多少？","平行四边形总数为 $\binom{n}{2} \binom{m}{2}$。"
"从点 $(0,0)$ 到点 $(m,n)$，每步只能向右或向上移动 1 个单位，总路径数是多少？","总路径数为 $\binom{m+n}{m}$ 或 $\binom{m+n}{n}$。"
"“隔板法”（Star-and-Bar）主要用于解决哪种类型的计数问题？","用于解决将 $n$ 个相同的物品分配到 $k$ 个不同的盒子中的计数问题。"
"将 $n$ 个相同的球放入 $k$ 个不同的盒子，且每个盒子至少有 1 个球，方案数公式是什么？","方案数为 $\binom{n-1}{k-1}$。"
"将 $n$ 个相同的球放入 $k$ 个不同的盒子，允许盒子为空，方案数公式是什么？","方案数为 $\binom{n+k-1}{k-1}$。"
"方程 $x_1 + x_2 + \dots + x_k = n$ 的正整数解的个数是多少？","正整数解的个数为 $\binom{n-1}{k-1}$。"
"方程 $x_1 + x_2 + \dots + x_k = n$ 的非负整数解的个数是多少？","非负整数解的个数为 $\binom{n+k-1}{k-1}$。"
"在组合恒等式中，$\binom{n}{r}$ 等于哪个对称的二项式系数？","$\binom{n}{r} = \binom{n}{n-r}$。"
"请给出帕斯卡恒等式（Pascal's Identity）的公式表示。","$\binom{n}{r} + \binom{n}{r+1} = \binom{n+1}{r+1}$。"
"二项式系数的和 $\sum_{k=0}^{n} \binom{n}{k}$ 等于多少？","等于 $2^n$。"
