Front,Back
"边长为 $s$ 的立方体，其体积公式是什么？","$s^3$"
"边长为 $s$ 的立方体，其表面积公式是什么？","$6s^2$"
"长、宽、高分别为 $l, w, h$ 的长方体，其体积公式是什么？","$lwh$"
"长、宽、高分别为 $l, w, h$ 的长方体，其表面积公式是什么？","$2(lw + lh + wh)$"
"已知底面积为 $B$，高为 $h$ 的柱体（Prism），其体积公式是什么？","$Bh$"
"已知底面积为 $B$，底面周长为 $P$，高为 $h$ 的直柱体，其表面积公式是什么？","$2B + Ph$"
"半径为 $r$，高为 $h$ 的圆柱体，其体积公式是什么？","$\pi r^2 h$"
"半径为 $r$，高为 $h$ 的圆柱体，其全表面积公式是什么？","$2\pi r^2 + 2\pi rh$"
"半径为 $r$ 的球体，其体积公式是什么？","$\frac{4}{3}\pi r^3$"
"半径为 $r$ 的球体，其表面积公式是什么？","$4\pi r^2$"
"半径为 $r$，高为 $h$ 的圆锥，其体积公式是什么？","$\frac{1}{3}\pi r^2 h$"
"半径为 $r$，母线长为 $l$ 的圆锥，其全表面积公式是什么？","$\pi r^2 + \pi rl$"
"底面积为 $B$，垂直高度为 $h$ 的锥体（Pyramid），其体积公式是什么？","$\frac{1}{3}Bh$"
"底面积为 $B$，底面周长为 $P$，斜高为 $l$ 的正锥体，其全表面积公式是什么？","$B + \frac{1}{2}Pl$"
"简述卡瓦列里原理（Cavalieri’s Principle）的核心内容。","若两等高固体在任一相同高度处的水平截面积均相等，则两固体体积相等。"
"应用卡瓦列里原理时，平行六面体（Parallelpiped）常被看作哪种几何体的推广？","长方体（Rectangular prism）。"
"在推导球体体积时，利用卡瓦列里原理可以证明半球的体积等于圆柱体积减去_____的体积。","圆锥"
"阿基米德帽盒定理（Archimedes’ Hat-Box Theorem）指出，球面上两平行平面间的侧面积等于_____在相同高度间的侧面积。","外切圆柱"
"球缺（Spherical segment）的侧面积 $S$ 的计算公式是什么（半径为 $R$，高度为 $h$）？","$2\pi Rh$"
"球冠（Spherical Crown）的体积 $V$ 公式是什么（半径为 $R$，冠高为 $h$）？","$\frac{\pi}{3}(3R - h)h^2$"
"任意四面体是否一定存在外接球？","是，外接球一定存在。"
"如何确定四面体外接球的球心位置？","任意三条棱的垂直平分面的交点。"
"如何确定四面体内切球的球心位置？","任意三个二面角的角平分面的交点。"
"若四面体四个顶点的向量坐标分别为 $\vec{v_1}, \vec{v_2}, \vec{v_3}, \vec{v_4}$，其重心（Centroid）坐标公式是什么？","$\frac{\vec{v_1} + \vec{v_2} + \vec{v_3} + \vec{v_4}}{4}$"
"什么是正四面体（Regular Tetrahedron）？","四个面均为全等正三角形的四面体。"
"棱长为 $a$ 的正四面体，其侧面（正三角形）的高 $l$ 为多少？","$\frac{\sqrt{3}}{2}a$"
"棱长为 $a$ 的正四面体，其垂直高度 $h$ 为多少？","$\frac{\sqrt{6}}{3}a$"
"棱长为 $a$ 的正四面体，其体积 $V$ 公式是什么？","$\frac{\sqrt{2}}{12}a^3$"
"棱长为 $a$ 的正四面体，其内切球半径 $r$ 为多少？","$\frac{\sqrt{6}}{12}a$"
"棱长为 $a$ 的正四面体，其外接球半径 $R$ 为多少？","$\frac{\sqrt{6}}{4}a$"
"正四面体的重心会将其中线（Median）分为哪两个比例部分？","$1:3$（或顶点到重心距离占全长的 $3/4$）。"
"四面体 $D-ABC$ 的四个面全等，可以通过将其嵌入哪种几何体中来辅助计算体积？","直角长方体（Rectangular prism）。"
"几何学中，被两个平行平面截得的锥体部分称为什么？","台体（Frustum）。"
"已知上底面积 $B_2$，下底面积 $B_1$，高度为 $h$ 的台体体积通用公式是什么？","$\frac{h}{3}(B_1 + \sqrt{B_1B_2} + B_2)$"
"台体体积公式 $\frac{h}{3}(B_1 + \sqrt{B_1B_2} + B_2)$ 当 $B_1 = B_2$ 时简化为什么公式？","柱体体积公式 $Bh$。"
"上底边长为 $a$，下底边长为 $b$，高为 $h$ 的正四棱台体积公式是什么？","$\frac{h}{3}(a^2 + ab + b^2)$"
"上底半径 $r_2$，下底半径 $r_1$，高为 $h$ 的圆台体积公式是什么？","$\frac{\pi h}{3}(r_1^2 + r_1r_2 + r_2^2)$"
"在三维空间中，到线段 $AB$ 距离为常数 $R$ 的点的集合形成的几何体由哪些部分组成？","一个圆柱和两个半球。"
"若一个球体恰好切于圆台的侧面及上下底面，则该圆台的高 $h$ 与球半径 $R$ 的关系是？","$h = 2R$"
"在计算四面体体积时，若底面是三角形 $ABC$，高为 $h$，其体积 $V = \dots$","$\frac{1}{3} S_{\triangle ABC} \cdot h$"
"棱长为 $a$ 的正八面体可以看作是两个底面重合的什么几何体组成的？","正四棱锥。"
"在三维空间笛卡尔坐标系中，两点 $P_1(x_1, y_1, z_1)$ 和 $P_2(x_2, y_2, z_2)$ 的距离公式是什么？","$\sqrt{(x_2-x_1)^2 + (y_2-y_1)^2 + (z_2-z_1)^2}$"
"在解决复杂的几何度量问题时，哪种方法可以将几何问题转化为代数运算？","建立直角坐标系（Cartesian Coordinate System）。"
