Front,Back
"数学家对那些怀疑为真但尚未证明的陈述称为什么？","猜想（Conjecture）。"
"在数学命题分类中，勾股定理（Pythagorean theorem）属于哪一类？","已知为真的陈述（定理与命题）。"
"陈述“所有素数都是奇数”在数学逻辑中属于哪一类？","已知为假的陈述。"
"在数学符号中，$\forall$ 代表什么含义？","全称量词，表示“对于所有”（for all）。"
"在数学符号中，$\exists$ 代表什么含义？","存在量词，表示“存在”（there exists）。"
"符号 $\cup$ 在集合论中表示什么运算？","并集（union）。"
"符号 $\cap$ 在集合论中表示什么运算？","交集（intersection）。"
"符号 $\subseteq$ 和 $\subset$ 分别代表什么关系？","$\subseteq$ 表示子集，$\subset$ 表示真子集。"
"在逻辑推理符号中，$\Rightarrow$ 代表什么意思？","蕴含或推出（implies）。"
"在逻辑推理符号中，$\Leftrightarrow$ 代表什么意思？","充分必要条件（if and only if）。"
"符号 $:=$ 在数学定义中代表什么？","定义为（is defined as）。"
"在证明过程中，符号 $\therefore$ 代表什么？","所以（therefore）。"
"在证明过程中，符号 $\lightning$ 或 $\text{\#}$ 代表什么？","矛盾（contradiction）。"
"在证明结束时，通常使用什么符号表示证明完毕？","实心方块 $\blacksquare$ 或空心方块 $\square$。"
"希腊字母 $\alpha$ 和 $\beta$ 的英文名称分别是什么？","alpha 和 beta。"
"希腊字母 $\theta$ 常用于表示什么？","角度（theta）。"
"希腊字母 $\lambda$ 和 $\mu$ 的英文名称分别是什么？","lambda 和 mu。"
"希腊字母 $\pi$ 在数学中通常代表什么？","圆周率（pi）。"
"希腊字母 $\omega$ 的英文名称是什么？","omega。"
"逻辑连接词“且”（AND）的数学符号是什么？","$P \wedge Q$。"
"逻辑连接词“或”（OR）的数学符号是什么？","$P \vee Q$。"
"对于“且”条件 $P \wedge Q$，命题为真的前提是什么？","两个部分 $P$ 和 $Q$ 必须同时为真。"
"对于“或”条件 $P \vee Q$，命题为假的前提是什么？","两个部分 $P$ 和 $Q$ 必须同时为假。"
"德·摩根定律（DeMorgan's Laws）中 $\neg(P \text{ AND } Q)$ 等价于什么？","$(\neg P) \vee (\neg Q)$。"
"德·摩根定律（DeMorgan's Laws）中 $\neg(P \text{ OR } Q)$ 等价于什么？","$(\neg P) \wedge (\neg Q)$。"
"逻辑否定符号 $\neg$ 的作用是什么？","将命题的真值取反（真变假，假变真）。"
"陈述“至少有五个学生”的否定是什么？","至多有四个学生。"
"数学陈述 $x < 3$ 的否定形式是什么？","$x \ge 3$。"
"数学陈述 $a \le b$ 的否定形式是什么？","$a > b$。"
