Front,Back
"在数论中，如果 $b \ne 0$ 且 $a|b$，那么 $a$ 与 $b$ 的绝对值之间满足什么大小关系？","$|a| \le |b|$"
"数字 6 的所有约数（Divisors）有哪些？","$\pm 1, \pm 2, \pm 3, \pm 6$"
"什么是真约数（Proper divisor）？","除了该数自身以外的正约数。"
"数字 6 的真约数有哪些？","$1, 2, 3$"
"最小的合数（Composite number）是哪一个？","4"
"整数集用哪一个字母符号表示？","$\mathbb{Z}$"
"符号 $\mathbb{Z}_n$ 或 $\mathbb{Z}/n\mathbb{Z}$ 代表什么含义？","模 $n$ 的剩余类环（Residues）。"
"两个奇数之和的奇偶性是？","偶数"
"一个奇数与一个偶数之积的奇偶性是奇数还是偶数？","偶数"
"偶数个奇数相加的结果是奇数还是偶数？","偶数"
"奇数个奇数相加的结果是奇数还是偶数？","奇数"
"$x+y$ 与 $x-y$ 的奇偶性关系是？","它们具有相同的奇偶性。"
"什么是最大公约数（GCD）？","一组整数共有的约数中最大的一个。"
"当 $\gcd(a, b) = 1$ 时，称整数 $a$ 和 $b$ 为 _____。","互质（Relatively prime 或 Coprime）"
"什么是最小公倍数（LCM）？","一组整数共有的正公倍数中最小的一个。"
"辗转相减法的基本原理是 $\gcd (m,n)=\gcd (x,n)$。$x$ 是多少？","$m-n$"
"欧几里得算法中，若 $m = qn + r$（$0 \le r < n$），则 $\gcd(m, n)$ 等于？","$\gcd(r, n)$"
"对于任何正整数 $a$，$\gcd(a, 0)$ 的值是？","$a$"
"$\gcd(ca, cb)$ 等于什么？","$c \cdot \gcd(a, b)$"
"若 $a$ 整除 $bc$，且 $\gcd(a, c) = 1$，则 $a$ 必然整除 _____。","$b$"
"任何 $a$ 和 $b$ 的公约数都必然是 $\gcd(a, b)$ 的 _____。","约数"
"任何 $a$ 和 $b$ 的公倍数都必然是 $\text{lcm}[a, b]$ 的 _____。","倍数"
"算术基本定理（Fundamental Theorem of Arithmetic）的内容是什么？","每个正整数都有唯一的一种质因数分解形式。"
"若已知 $a$ 和 $b$ 的质因数分解，如何计算 $\gcd(a, b)$？","取所有共有质因数的最小指数幂之积。"
"若已知 $a$ 和 $b$ 的质因数分解，如何计算 $\text{lcm}[a, b]$？","取所有质因数的最大指数幂之积。"
