Front,Back
"在直角三角形中，锐角 $\theta$ 的正弦（$\sin \theta$）是如何定义的？","对边与斜边的比值（$\frac{\text{opp}}{\text{hyp}}$）。"
"在直角三角形中，锐角 $\theta$ 的余弦（$\cos \theta$）表示哪两条边的比值？","邻边与斜边的比值（$\frac{\text{adj}}{\text{hyp}}$）。"
"在直角三角形中，正切（$\tan \theta$）的定义是什么？","对边与邻边的比值（$\frac{\text{opp}}{\text{adj}}$）。"
"余割函数（$\csc \theta$）是哪一个基本三角函数的倒数？","正弦函数（$\sin \theta$）。"
"正割函数（$\sec \theta$）在直角三角形中的定义是什么？","斜边与邻边的比值（$\frac{\text{hyp}}{\text{adj}}$）。"
"余切函数（$\cot \theta$）在直角三角形中的定义是什么？","邻边与对边的比值（$\frac{\text{adj}}{\text{opp}}$）。"
"角度单位换算中，$180^\circ$ 等于多少弧度（$\text{radian}$）？","$\pi$ 弧度。"
"特殊角 $\frac{\pi}{6}$（$30^\circ$）的正弦值是多少？","$\frac{1}{2}$。"
"特殊角 $\frac{\pi}{3}$（$60^\circ$）的余弦值是多少？","$\frac{1}{2}$。"
"特殊角 $\frac{\pi}{4}$（$45^\circ$）的正切值是多少？","1。"
"特殊角 $60^\circ$ 的正弦值是多少？","$\frac{\sqrt{3}}{2}$。"
"特殊角 $30^\circ$ 的正切值（$\tan 30^\circ$）是多少？","$\frac{\sqrt{3}}{3}$。"
"余角关系中，$\sin(90^\circ - \theta)$ 等于什么？","$\cos \theta$。"
"余角关系中，$\tan(90^\circ - \theta)$ 等于什么？","$\cot \theta$。"
"余角关系中，$\sec(90^\circ - \theta)$ 等于什么？","$\csc \theta$。"
"在单位圆定义中，角 $\theta$ 终边与圆的交点坐标 $(x, y)$，其中 $x$ 等于什么？","$\cos \theta$。"
"在单位圆定义中，角 $\theta$ 终边与圆的交点坐标 $(x, y)$，其中 $y$ 等于什么？","$\sin \theta$。"
"最基本的三角恒等式 $\sin^2 \theta + \cos^2 \theta$ 的值是多少？","1。"
"涉及正切和正割的平方关系恒等式是什么？","$\tan^2 \theta + 1 = \sec^2 \theta$。"
"涉及余切和余割的平方关系恒等式是什么？","$\cot^2 \theta + 1 = \csc^2 \theta$。"
"什么是角 $\theta$ 的参考角（$\bar{\theta}$）？","角 $\theta$ 的终边与 $x$ 轴之间形成的锐角。"
"口诀 “All Students Take Calculus” 中，“Take” 代表在第三象限哪个三角函数为正？","正切函数（$\tan$）及其倒数余切函数（$\cot$）。"
"在哪个象限内，正弦函数（$\sin$）为负值且余弦函数（$\cos$）为正值？","第四象限。"
"在哪个象限内，正弦函数（$\sin$）和余弦函数（$\cos$）均为负值？","第三象限。"
"$\cos 120^\circ$ 的值是多少？","$-\frac{1}{2}$。"
