Front,Back
"证明三点 $A, B, C$ 共线最基础的角计算方法有几种？","共有 3 种。"
"证明三条直线共点的最基本步骤是什么？","取其中两条直线的交点，并证明第三条直线也通过该交点。"
"什么是西姆松线（Simson Line）？","三角形外接圆上的一点在三角形三边上的投影点所连成的直线。"
"若点 $P$ 位于 $\triangle ABC$ 的外接圆上，其在边 $BC, AC, AB$ 上的投影点 $A_1, B_1, C_1$ 具有什么关系？","这三点共线。"
"在 $\triangle ABC$ 中，若点 $D$ 在边 $AB$ 上，则面积比 $\frac{S_{\triangle AED}}{S_{\triangle BED}}$ 等于多少？","等于线段比 $\frac{AD}{DB}$。"
"根据面积比性质，$\frac{S_{\triangle AEC}}{S_{\triangle BEC}}$ 与线段比 $\frac{AD}{DB}$ 的关系是什么？","两者的值相等。"
"在 $\triangle ABC$ 中，若 $D$ 在 $AB$ 上，$E$ 在 $CD$ 上，则 $\frac{S_{\triangle AEC} + S_{\triangle BEC}}{S_{\triangle ABE}}$ 等于多少？","等于线段比 $\frac{CE}{DE}$。"
"什么是塞瓦线（Cevian）？","三角形中连接一个顶点与对边上任意一点的线段。"
"塞瓦定理（Ceva's Theorem）中，三条塞瓦线共点的长度比值乘积是多少？","乘积等于 $1$。"
"塞瓦定理公式：$\frac{AF}{FB} \cdot \frac{BD}{DC} \cdot$ _____ $= 1$。","$\frac{CE}{EA}$"
"塞瓦定理逆定理的结论是什么？","若三边上的点满足长度比值乘积为 $1$，则对应的三条塞瓦线共点或相互平行。"
"角平分线形式的塞瓦定理（Ceva's Angle Theorem）涉及哪些三角函数值的乘积？","涉及正弦值（$\sin$）的乘积。"
"写出 $\triangle ABC$ 中 $AD, BE, CF$ 共点的正弦形式塞瓦定理公式。","$\frac{\sin(\angle BAD)}{\sin(\angle CAD)} \cdot \frac{\sin(\angle CBE)}{\sin(\angle ABE)} \cdot \frac{\sin(\angle ACF)}{\sin(\angle BCF)} = 1$。"
"梅涅劳斯定理（Menelaus's Theorem）通常用于处理什么类型的几何图形？","用于处理一个三角形及其一条截线。"
"梅涅劳斯定理公式：$\frac{AF}{FB} \times \frac{BD}{DC} \times \frac{CE}{EA} =$ _____。","$1$"
"梅涅劳斯定理逆定理的主要用途是什么？","用于证明三个点共线。"
"在几何竞赛中，什么是质点（Mass Point）？","一个没有体积但具有特定质量的点。"
"阿基米德杠杆原理（Archimedes’ Law of the Lever）的核心平衡条件是什么？","每个质量与其到支点距离的乘积必须相等。"
"两个质点的平衡点被称为什么？","质心（Center of Mass）。"
"质心的位置在连线上倾向于靠近哪一侧？","倾向于靠近质量较重的一侧。"
"质点法中，位于线段中间的合质点质量等于什么？","等于该线段两端点质量之和。"
"若线段 $AC$ 上有一点 $F$，且 $m_C \times 2 = m_A \times 1$，则线段比 $AF:FC$ 是多少？","比例为 $2:1$。"
"在处理涉及截线和塞瓦线的复杂问题时，通常对顶点采用什么质点法技巧？","采用拆分质量（Split Mass）技巧。"
"在拆分质量法中，顶点 $A$ 的总质量如何计算？","总质量等于在该点处分配的所有分质量之和。"
"根轴（Radical Axis）的定义是什么？","到两个非同心圆的圆幂相等的点的轨迹。"
"两圆的根轴与两圆圆心连线的位置关系是怎样的？","根轴总是垂直于圆心连线。"
"如果两个圆相交，它们的根轴是什么？","经过两个交点的直线。"
"如果两个圆相切，它们的根轴是什么？","两圆的公切线。"
"什么是根心（Radical Center）？","对三个圆具有相同圆幂的交点。"
"三角形三条高的交点称为什么？","垂心（Orthocenter）。"
"垂心轴（Orthic axis）定理证明中，点 $A'$ 位于哪两个圆的根轴上？","位于三角形外接圆和高足三角形外接圆的根轴上。"
"在 $\triangle ABC$ 中，若三条共点塞瓦线将面积分为顺时针的 $p, q, r, m, n, k$，则 $pqr$ 等于什么？","等于 $mnk$。"
"三条共点塞瓦线分成的 6 个小三角形面积 $p, q, r, m, n, k$ 的倒数满足什么关系？","$\frac{1}{p} + \frac{1}{q} + \frac{1}{r} = \frac{1}{m} + \frac{1}{n} + \frac{1}{k}$。"
