Front,Back
"列向量 $\vec{v} = \begin{bmatrix} v_1 \\ v_2 \end{bmatrix}$ 中的 $v_1$ 和 $v_2$ 分别代表什么？","$v_1$ 是向量 $\vec{v}$ 的第一个分量，$v_2$ 是其第二个分量。"
"向量加法中，$\vec{v} + \vec{w}$ 的计算规则是什么？","将两个向量对应的分量分别相加，即 $\begin{bmatrix} v_1 + w_1 \\ v_2 + w_2 \end{bmatrix}$。"
"什么是向量的“数乘” (Scalar Multiplication)？","将标量 $\lambda$ 与向量的每一个分量相乘，得到 $\lambda\vec{v} = \begin{bmatrix} \lambda v_1 \\ \lambda v_2 \end{bmatrix}$。"
"向量 $\vec{v}$ 和 $\vec{w}$ 的“线性组合” (Linear Combination) 是如何定义的？","指形如 $c\vec{v} + d\vec{w}$ 的表达式，其中 $c$ 和 $d$ 是标量权重。"
"在 $\mathbb{R}^3$ 空间中，两个线性无关向量的所有线性组合在几何上构成什么？","一个穿过原点的平面。"
"若限制系数 $0 \le c \le 1$ 且 $0 \le d \le 1$，线性组合 $c\vec{v} + d\vec{w}$ 构成的几何区域是什么？","以 $\vec{v}$ 和 $\vec{w}$ 为邻边的平行四边形区域。"
"若仅限制系数 $c \ge 0$ 且 $d \ge 0$，线性组合 $c\vec{v} + d\vec{w}$ 构成的几何图形被称为_____。","锥形 (Cone)"
"在 $\mathbb{R}^2$ 中，向量 $\vec{v}$ 和 $\vec{w}$ 的点积 (Dot Product) 公式是什么？","$\vec{v} \cdot \vec{w} = v_1w_1 + v_2w_2$。"
"如何使用点积来定义向量 $\vec{v}$ 的长度（范数）$\|\vec{v}\|$？","$\|\vec{v}\| = \sqrt{\vec{v} \cdot \vec{v}}$。"
"单位向量 (Unit Vector) 的定义是什么？","长度等于 $1$ 的向量。"
"如何将非零向量 $\vec{v}$ 转化为与其方向相同的单位向量 $\vec{u}$？","使用公式 $\vec{u} = \frac{\vec{v}}{\|\vec{v}\|}$。"
"当两个非零向量 $\vec{v}$ 和 $\vec{w}$ 垂直时，它们的点积结果是多少？","$0$。"
"两个非零向量 $\vec{v}$ 和 $\vec{w}$ 之间夹角 $\theta$ 的余弦公式是什么？","$\cos \theta = \frac{\vec{v} \cdot \vec{w}}{\|\vec{v}\| \|\vec{w}\|}$。"
"利用向量点积表示的余弦定理公式是什么？","$\|\vec{a} - \vec{b}\|^2 = \|\vec{a}\|^2 + \|\vec{b}\|^2 - 2\|\vec{a}\|\|\vec{b}\| \cos \theta$。"
"矩阵的基本定义是什么？","由 $m$ 行和 $n$ 列数字构成的矩形阵列。"
"在矩阵表示法中，下标 $a_{ij}$ 代表什么含义？","表示该条目（Entry）位于矩阵的第 $i$ 行、第 $j$ 列。"
"什么是线性方程组的“增广矩阵” (Augmented Matrix)？","由方程组的系数矩阵和结果常数向量合并而成的矩阵。"
"矩阵与向量的乘积 $A\vec{x}$ 在本质上表示什么？","它表示矩阵 $A$ 中各列向量以向量 $\vec{x}$ 的分量为权重的线性组合。"
"如果向量 $\vec{w}$ 不在向量 $\vec{u}$ 和 $\vec{v}$ 构成的平面内，这三个向量的关系是_____。","线性无关 (Linearly Independent)"
"线性无关的向量组 $\{v_1, \dots, v_p\}$ 必须满足哪个向量方程只有平凡解？","$c_1v_1 + c_2v_2 + \dots + c_pv_p = \vec{0}$。"
"什么是向量组的“线性相关性” (Linear Dependence)？","指存在不全为零的系数，使得向量组的线性组合等于零向量。"
"在线性方程组中，“行图像” (Row Picture) 展示了什么？","不同方程代表的几何图形（如直线）相交于解点的情况。"
"在线性方程组中，“列图像” (Column Picture) 的核心目的是什么？","寻找列向量的某种组合方式，使其结果等于方程右侧的向量。"
"一个线性方程组可能拥有的解的数量有哪些情况？","恰有一个解、无解、或有无穷多解。"
"什么样的情况会导致线性方程组被判定为“无解” (Inconsistent)？","在消元过程中产生了一个错误的等式（如 $0 = 1$）。"
"初等行变换包含哪三种基本操作？","倍加（行相加）、倍乘（乘以非零常数）、互换（交换两行）。"
"高斯消元法 (Gaussian Elimination) 的第二步目标是什么？","使用初等行变换将增广矩阵转化为行阶梯形 (Row-Echelon Form)。"
"在高斯消元法中，将矩阵化为行阶梯形后，下一步该如何求出具体解？","通过“回代法” (Back-Substitution) 依次求出各变量的值。"
"什么是方阵 (Square Matrix)？","行数和列数相等的矩阵。"
"零矩阵 $O$ 的定义是什么？","所有元素都为 $0$ 的矩阵。"
"单位矩阵 $I_n$ 在主对角线上的元素值是多少？","$1$。"
"矩阵 $A$ 和 $B$ 能够进行乘法运算 $AB$ 的必要前提是什么？","$A$ 的列数必须等于 $B$ 的行数。"
"若 $A$ 是 $p \times q$ 矩阵，$B$ 是 $q \times r$ 矩阵，则乘积 $AB$ 的维度是多少？","$p \times r$。"
"在行阶梯形矩阵中，如果每一列都有主元（领先变量），则该系统有_____个解。","一"
"在行阶梯形矩阵中，如果存在不含主元的变量（自由变量），则系统通常有_____个解。","无穷多"
"初等行变换中的 $\text{R}_i \leftrightarrow \text{R}_j$ 符号代表什么？","交换第 $i$ 行和第 $j$ 行。"
"初等行变换中的 $k\text{R}_i$ 符号代表什么操作？","将第 $i$ 行的所有元素乘以非零常数 $k$。"
"在消元过程中，符号 $\text{R}_i + k\text{R}_j \to \text{R}_i$ 的意义是什么？","将第 $j$ 行的 $k$ 倍加到第 $i$ 行，并更新第 $i$ 行。"
"如果三个平面在三维空间中没有共同的交点，则对应的方程组解的情况是_____。","无解"
"如果三个平面在三维空间中交于一条直线，则对应的方程组解的情况是_____。","有无穷多解"
"在线性代数中，系数矩阵 $A$ 的维数被定义为_____。","$m \times n$ (行数 $\times$ 列数)"
"点积运算是否满足交换律，即 $\vec{v} \cdot \vec{w} = \vec{w} \cdot \vec{v}$？","是。"
"计算向量 $\vec{v}$ 的单位向量时，分母应为向量的_____。","长度（或模长）"
"在高斯消元法中，将某行第一个非零项化为 $1$ 后，其下方的对应项应化为_____。","$0$。"
"矩阵 $A$ 乘以向量 $\vec{x}$ 的结果是一个列向量还是一个行向量？","列向量。"
"什么是矩阵消元过程中的“主元” (Pivot)？","每一行中第一个非零的、用于消去下方元素的项。"
"如果一个 $3 \times 3$ 方程组的行图像中三个平面相交于一点，该系统的解是_____。","唯一的解"
"对于向量 $\vec{v} = (v_1, \dots, v_n)$，其长度的平方 $\|\vec{v}\|^2$ 等于什么？","$v_1^2 + v_2^2 + \dots + v_n^2$。"
"当向量 $\vec{v}$ 与 $\vec{w}$ 的夹角为 $90^\circ$ 时，$\cos \theta$ 的值为多少？","$0$。"
"矩阵消元中的 LU 分解 (Factorization) 属于哪一部分的知识？","线性方程组的消元与矩阵表示。"
