Front,Back
"实数的加法交换律公式是什么？","$a+b=b+a$"
"实数的乘法结合律公式是什么？","$(ab)c=a(bc)$"
"实数的分配律公式是什么？","$a(b+c)=ab+ac$"
"负数性质：如何简化 $-(a-b)$？","$b-a$"
"负数性质：如何简化 $-(a+b)$？","$-a-b$"
"幂运算性质：$a^{m} \cdot a^{n} = $ _____","$a^{m+n}$"
"幂运算性质：如何表示 $\frac{a^{m}}{a^{n}}$？","$a^{m-n}$"
"幂运算性质：$(a^{m})^{n} = $ _____","$a^{mn}$"
"幂运算性质：$(ab)^{n} = $ _____","$a^{n}b^{n}$"
"分数指数幂：$a^{\frac{1}{n}}$ 的根式表达形式是什么？","$\sqrt[n]{a}$"
"负分数指数幂：$a^{-\frac{m}{n}}$ 的倒数表达形式是什么？","$\frac{1}{\sqrt[n]{a^{m}}}$"
"在实数范围内，若 $a^{n}=1$，当 $n$ 是偶数时，$a$ 可能的值有哪些？","$1$ 或 $-1$"
"在实数范围内，若 $a^{n}=1$ 且 $a \ne 0$，则 $n$ 的一个可能值是什么？","$0$"
"因式分解：平方差公式是什么？","$x^{2}-y^{2}=(x-y)(x+y)$"
"因式分解：立方和公式 $x^{3}+y^{3} = $ _____","$(x+y)(x^{2}-xy+y^{2})$"
"因式分解：立方差公式 $x^{3}-y^{3} = $ _____","$(x-y)(x^{2}+xy+y^{2})$"
"因式分解：完全平方公式 $(x \pm y)^{2} = $ _____","$x^{2} \pm 2xy + y^{2}$"
"什么是分式（Algebraic Fraction）？","分子和分母都是代数式，且分母包含变量的表达式。"
"部分分式分解：对于 $\frac{ax+b}{(px+q)(rx+s)}$，其分解的基本形式是什么？","$\frac{A}{px+q} + \frac{B}{rx+s}$"
"部分分式分解：若分母含有重复线性因子 $(rx+s)^{2}$，应分解为哪两项？","$\frac{B}{(rx+s)^{2}} + \frac{C}{rx+s}$"
"分式恒等式：若 $\frac{a}{b}=\frac{c}{d}$，则关于 $a+b$ 和 $a-b$ 的合比性质是什么？","$\frac{a+b}{a-b}=\frac{c+d}{c-d}$"
