Front,Back
"公式：$\sum_{k=1}^{n} 1$","$n$"
"公式：$\sum_{k=1}^{n} k$","$\frac{n(n+1)}{2}$"
"公式：$\sum_{k=1}^{n} k^2$","$\frac{n(n+1)(2n+1)}{6}$"
"公式：$\sum_{k=1}^{n} k^3$","$\frac{n^2(n+1)^2}{4}$"
"$\{a_k\}$ 和 $\{b_k\}$ 是两个数列，$\sum_{k=1}^{n}(a_k + b_k)$ 等于？","$\sum_{k=1}^{n} a_k + \sum_{k=1}^{n} b_k$"
"若 $\lambda$ 为常数，$\sum_{k=1}^{n} \lambda a_k$ 的线性性质表现为？","$\lambda \sum_{k=1}^{n} a_k$"
"对称和（Symmetric Sum）$\sum_{sym} f(x_1, \dots, x_n)$ 的定义是什么？","对变量 $(1, 2, \dots, n)$ 的所有排列 $\sigma$ 进行求和 $\sum_{\sigma} f(x_{\sigma(1)}, \dots, x_{\sigma(n)})$。"
"若 $f(x_1, \dots, x_n)$ 是对称函数，则其对称和等于？","$n! f(x_1, \dots, x_n)$"
"轮换和（Cyclic Sum）$\sum_{cyc} f(a_1, \dots, a_n)$ 的求和项是如何产生的？","通过对变量下标进行循环移位产生，共包含 $n$ 个项。"
"算术数列（等差数列）的通项公式 $a_n$ 是什么？","$a_n = a_1 + (n-1)d$"
"算术数列（等差数列）前 $n$ 项和 $S_n$ 的基本公式是什么？","$S_n = \frac{n(a_1 + a_n)}{2}$"
"已知算术数列（等差数列）的第 $m$ 项和第 $n$ 项，公差 $d$ 的计算式为？","$d = \frac{a_n - a_m}{n-m}$"
"算术数列（等差数列）中，若 $n+m = p+q$，则$a_n+a_m$与$a_p+a_q$之间满足什么等式？","$a_n + a_m = a_p + a_q$"
"几何数列（等比数列）的通项公式 $a_n$ 是什么？","$a_n = a_1 r^{n-1}$"
"当公比 $r \ne 1$ 时，几何数列（等比数列）前 $n$ 项和 $S_n$ 的公式为？","$S_n = \frac{a_1(1-r^n)}{1-r}$"
"几何数列（等比数列）中，若 $n+m = p+q$，则项之间满足什么等式？","$a_n \times a_m = a_p \times a_q$"
"当公比满足什么条件时，几何数列（等比数列）存在无穷级数之和？","$|r| < 1$"
"无穷几何级数（等比级数）的和 $S$ 的公式是什么？","$S = \frac{a_1}{1-r}$"
"多项式差分定理：若 $y=f(x)$ 是 $n$ 次多项式，则其第几次差分恒为常数？","第 $n$ 次差分。"
"裂项相消法中，$\frac{1}{k(k+1)}$ 可以改写为？","$\frac{1}{k} - \frac{1}{k+1}$"
"裂项相消法中，$\frac{1}{k(k+n)}$ 的通用改写形式是？","$\frac{1}{n} (\frac{1}{k} - \frac{1}{k+n})$"
"三项乘积的裂项：$\frac{1}{k(k+1)(k+2)}$ 等于？","$\frac{1}{2} (\frac{1}{k(k+1)} - \frac{1}{(k+1)(k+2)})$"
"在涉及根式的级数中，$\sqrt{1 + \frac{1}{n^2} + \frac{1}{(n+1)^2}}$ 可以化简为？","$1 + \frac{1}{n} - \frac{1}{n+1}$"
"阶乘相关的裂项：$\frac{n-1}{n!}$ 可以改写为？","$\frac{1}{(n-1)!} - \frac{1}{n!}$"
"三角函数恒等式裂项：$\frac{1}{\cos \alpha \cos \beta}$ 等于？","$\frac{1}{\sin(\alpha - \beta)} (\tan \alpha - \tan \beta)$"
"三角函数恒等式裂项：$\frac{1}{\sin \alpha \sin \beta}$ 等于？","$\frac{1}{\sin(\alpha - \beta)} (\frac{1}{\tan \beta} - \frac{1}{\tan \alpha})$"
"数学归纳法的第一个核心步骤是什么？","基础步骤（Basis）：证明命题在 $n=1$ 时成立。"
"数学归纳法的第二步骤归纳假设（Assumption）部分通常假设什么？","假设命题对于 $n=k$ 成立。"
"数学归纳法的第三步骤归纳递归（Inductive step）需要展示什么？","展示如果命题对 $n=k$ 成立，则命题对 $n=k+1$ 也成立。"
"若递归关系涉及 $a_{n+1}$ 与前 $n$ 项和 $S_n$，常用的化简方法是？","利用 $a_{n+1} = S_{n+1} - S_n$ 进行代换。"
"一阶非齐次线性递归 $a_{n+1} = pa_n + q$ ($p \ne 1$) 的不动点满足什么方程？","$x = px + q$"
"若 $a_{n+1} = pa_n + q(n)$ 且 $q(n)$ 是 $n$ 的多项式，求解的一般思路是？","利用待定系数法寻找一个形式相同的多项式特解。"
"二阶线性齐次递归 $a_{n+2} = pa_{n+1} + qa_n$ 的特征方程是？","$x^2 - px - q = 0$"
"若二阶递归的特征方程有两个不相等的实根 $x_1, x_2$，则通解形式为？","$a_n = c_1 x_1^n + c_2 x_2^n$"
"若二阶递归的特征方程有一个重根 $x_0$，则通解形式为？","$a_n = (c_1 + c_2 n) x_0^n$"
"若二阶递归的特征方程有一对共轭复根 $r e^{\pm i\theta}$，则通解的三角函数形式为？","$a_n = r^n (c_1 \cos n\theta + c_2 \sin n\theta)$"
"解决非齐次递归关系 $u_n = au_{n-1} + bu_{n-2} + g(n)$ 的通解结构是？","通解 = 齐次解（Complementary Function）+ 特解（Particular Solution）。"
"当 $g(n) = kp^n$ 且 $p$ 不是特征方程的根时，特解的尝试形式为？","$\lambda p^n$"
"当 $g(n) = kp^n$ 且 $p$ 是特征方程的单根时，特解的尝试形式为？","$\lambda n p^n$"
"线性分式递归 $a_{n+1} = \frac{ra_n + s}{pa_n + q}$ 的特征方程是如何得到的？","通过令 $x = \frac{rx + s}{px + q}$ 解出不动点。"
"若线性分式递归有两个不同的不动点 $\alpha, \beta$，其变换后的等比形式为？","$\frac{a_{n+1} - \alpha}{a_{n+1} - \beta} = k \frac{a_n - \alpha}{a_n - \beta}$"
