Front,Back
"欧几里得 (Euclid) 证明素数有无穷多个时，构造的新整数 $N$ 是什么？","$N = p_1 \times p_2 \times \cdots \times p_k + 1$"
"欧拉 (Euler) 证明素数无穷性的方法是利用哪种级数的发散性？","调和级数 (Harmonic Series) $\sum_{n=1}^{\infty} \frac{1}{n}$"
"利用费马数证明素数无穷性时，费马数 $F_n$ 的表达式是什么？","$F_n = 2^{2^n} + 1$"
"良序原理 (Well Ordering Principle) 指出正整数的每一个非空子集都具备什么特征？","都有一个最小元素 (Least element)。"
"数学中一种特殊的反证法，又被称为费马下降法的是什么？","无穷下降法 (Method of Infinite Descent)。"
"威尔逊定理 (Wilson's Theorem) 给出了自然数 $n > 1$ 为素数的充分必要条件是什么？","$(n - 1)! \equiv -1 \pmod n$"
"在威尔逊定理的证明中，若 $n$ 是素数，对于 $2 \le a \le n-2$ 的整数，乘积净贡献为 1 的原因是将它们与什么配对？","与它们模 $n$ 的唯一逆元 (Unique inverse) $a^{-1}$ 配对。"
"费马平方和定理指出，一个素数 $p$ 能表示为两个非零平方数之和的充分必要条件是什么？","$p = 2$ 或 $p \equiv 1 \pmod 4$"
"形式为 $4k + 3$ 的正整数（awkward prime）能否表示为两个整数的平方和？","不能。"
"根据婆罗摩笈多-斐波那契恒等式，两个能表示为平方和的整数之积是否仍为平方和？","是，$(a^2 + b^2)(p^2 + q^2) = (ap+bq)^2 + (aq-bp)^2$。"
"正整数 $N$ 是平方和 (squaresum) 的充分必要条件是其素因子分解中，所有形如 $4k+3$ 的素因子的幂次必须是什么？","必须是偶数次幂。"
"升幂引理 (LTE Lemma) 的基本前提条件是 $p$ 为素数，$n$ 为正整数，且 $p | (x-y)$，同时 $p$ 必须满足什么关于 $x, y$ 的条件？","$p \nmid x$ 且 $p \nmid y$。"
"当 $p$ 是奇素数且 $p | (x-y)$ 时，$v_p(x^n - y^n)$ 的计算公式是什么？","$v_p(x^n - y^n) = v_p(x-y) + v_p(n)$"
"在 LTE 引理中，若 $p=2$ 且 $4 | (x-y)$，则 $v_2(x^n - y^n)$ 等于什么？","$v_2(x-y) + v_2(n)$"
"在 LTE 引理中，若 $p=2, 2 | (x-y)$ 且 $n$ 为偶数，则 $v_2(x^n - y^n)$ 的公式是什么？","$v_2(x-y) + v_2(x+y) + v_2(n) - 1$"
"对于奇正整数 $n$，若 $p | (x+y)$，则 $v_p(x^n + y^n)$ 等于什么？","$v_p(x+y) + v_p(n)$"
"GCD 技巧：$\gcd(a^m - 1, a^n - 1)$ 等于什么？","$a^{\gcd(m,n)} - 1$"
"亨泽尔引理 (Hensel's Lemma) 描述了如何将多项式模 $p^j$ 的根“提升”到模哪个数的根？","模 $p^{j+1}$。"
"应用亨泽尔引理寻找 $f(x) \equiv 0 \pmod{p^{j+1}}$ 的唯一解时，除了 $f(a) \equiv 0 \pmod{p^j}$ 外，还需要满足什么导数条件？","$f'(a) \not\equiv 0 \pmod p$"
"算术函数 (Arithmetic Function) 的定义域是什么？","正整数集 $\mathbb{Z}^+$。"
"算术函数 $f$ 的和函数 (Summation function) $F(n)$ 定义为什么？","$F(n) = \sum_{d|n} f(d)$"
