Front,Back
"三角形的重心（Centroid）是如何定义的？","它是三角形三条中线（Median）的交点。"
"在三角形 $\triangle ABC$ 中，重心 $G$ 与顶点 $A$ 及对边中点 $D$ 满足的长度比例 $AG:GD$ 是多少？","$2:1$。"
"重心坐标 $(x_G, y_G)$ 与顶点坐标 $(x_A, y_A), (x_B, y_B), (x_C, y_C)$ 的关系公式是什么？","$x_G = \frac{x_A+x_B+x_C}{3}$ 且 $y_G = \frac{y_A+y_B+y_C}{3}$。"
"三条中线将三角形分成的六个小三角形面积之间有什么关系？","这六个小三角形的面积全部相等。"
"对于凸多面体或凸平面图形，其重心（几何中心）的位置有何特点？","重心总是位于该物体的内部（或边界上）。"
"重心是使到三角形三个顶点的_____之和最小的点。","距离平方"
"三角形中哪一个点能使该点到三条边长度的乘积最大？","重心（Centroid）。"
"三角形的内心（Incenter）是如何定义的？","它是三角形三条内角平分线（Internal angle bisectors）的交点。"
"内心到三角形三条边的距离有何关系？","内心到三条边的距离相等，这个距离即为内切圆半径 $r$。"
"在 $\triangle ABC$ 中，若 $I$ 是内心，则 $\angle BIC$ 的度数公式是什么？","$\angle BIC = 90^\circ + \frac{\angle A}{2}$。"
"若三角形周长为 $2p$（即半周长为 $p$），面积为 $s$，则内切圆半径 $r$ 的公式是？","$r = \frac{s}{p}$。"
"在 $\triangle ABC$ 中，顶点 $A$ 到内切圆在边 $AB$ 和 $AC$ 上切点的距离（切线长）公式是？","$AE = AF = p - a$（其中 $p$ 为半周长，$a$ 为边 $BC$ 的长）。"
"利用半周长 $p$ 和各边长 $a, b, c$ 表示内切圆半径 $r$ 的海伦公式形式是？","$r = \frac{\sqrt{p(p-a)(p-b)(p-c)}}{p}$。"
"内心 $I$ 到顶点 $A$ 的距离 $r$ 可以用半角正切表示为：$r = (p-a) \cdot \underline{\quad\quad}$。","$\tan(A/2)$"
"三角形的外心（Circumcenter）是如何定义的？","它是三角形三条边的垂直平分线（Perpendicular bisectors）的交点。"
"外心到三角形三个顶点的距离有何关系？","外心到三个顶点的距离相等，这个距离即为外接圆半径 $R$。"
"三角形的外心位于三角形内部的充要条件是什么？","该三角形是锐角三角形。"
"直角三角形的外心位于何处？","位于斜边（Hypotenuse）的中点。"
"在 $\triangle ABC$ 中，若 $O$ 是外心，则圆心角 $\angle BOC$ 与圆周角 $\angle A$ 的关系是？","$\angle BOC = 2\angle A$。"
