Front,Back
"在直角三角形中，通常建议构造哪条辅助线来利用直角特性？","构造斜边上的中线。"
"在三角形或梯形中，连接两边中点的辅助线被称为什么？","中位线 (Midline segment)。"
"在等腰三角形中，关于底边通常构造哪三类重合的线？","高线、中线或角平分线（三线合一）。"
"当几何题目涉及面积计算时，通常需要画出图形的什么？","高 (Height/Altitude)。"
"处理梯形问题时，常用的一种方法是从短底向长底作什么辅助线？","作两条高线。"
"若已知图形中存在两倍角或三倍角关系，建议尝试构造什么？","角平分线 (Angle bisector) 或三分角线 (Trisector)。"
"为了构造比例线段，通常过一个点向已知直线作 _____。","平行线。"
"平行四边形中最基础的辅助线是连接其 _____。","对角线 (Diagonals)。"
"在梯形中，可以通过平移对角线或腰来构造 _____。","平行四边形。"
"当题目给出三角形中线时，常用的一种辅助线技巧是 _____。","倍长中线 (Double the length of the median)。"
"当图形看起来像是另一个完整图形的一部分时，建议采用什么策略？","补全原图 (Construct the original figure)。"
"当直线与圆相切时，必须画出通过切点的哪条辅助线？","半径 (Radius)。"
"当两个圆相切（内切或外切）时，通常建议连接 _____。","连接两圆圆心。"
"当两个圆相切时，除了连接圆心，还可以尝试画出 _____。","公切线 (Common tangent line)。"
"在圆中，过圆心向弦作垂线的目的是利用 _____ 定理。","垂径定理。"
"在圆相关的构造中，直径所对的圆周角是 _____ 度。","$90^{\circ}$ (直角)。"
"当两个圆相交时，通常连接交点构造 _____。","公共弦 (Common chord)。"
"在 $\triangle ABC$ 中，若 $\angle B = 2\alpha$ 且 $\angle C = \alpha$，其中一种构造方式是平移顶点构造。这种方法的提示通常是什么？","构造两倍角或角平分线。"
"在梯形 $ABCD$ 中，$AD // BC$，$E$ 是 $AB$ 中点，$F$ 是 $DC$ 中点。若 $\angle A + \angle B = 90^{\circ}$，则 $EF$ 的值与底边 $a, b$ 的关系是 _____。","$\frac{1}{2}(a - b)$。"
"在 $\triangle ABC$ 中，若 $\angle B = 2\angle A$，证明 $AB^2 = AC^2 + BC^2$ 的常用提示是 _____。","平分 $\angle B$ (Bisect angle B)。"
"证明 $AE = BD$（$C$ 是 $AB$ 中点且 $\angle 1 = \angle 2$）时，建议使用的辅助线技巧是 _____。","倍长三角形的中线。"
"在 $\triangle ABC$ 中，$AD$ 为中线，$AE = EF$。证明 $AC = BF$ 的关键提示是 _____。","倍长三角形的中线。"
"在两个等腰直角三角形 $ABC$ 和 $BDE$ 的组合图中，$M$ 为 $CE$ 中点，求证 $BM = \frac{1}{2} AD$ 的提示是 _____。","倍长中线或构造直角三角形性质。"
"在凸四边形 $ABCD$ 中，$AD // BC$。若 $AC^2 + BD^2 = (AD + BC)^2$，则 $AC$ 与 $BD$ 的位置关系是 _____。","垂直 ($AC \perp BD$)。"
"“将军饮马”问题的基本数学模型是求解 _____ 最短路径问题。","折线段之和的最小值。"
"在解决 $PA + PB$（$P$ 在直线 $l$ 上，$A, B$ 在同侧）的最小值问题时，采用的核心变换是 _____。","反射 (Reflection/对称)。"
"解决“造桥选址”问题（需跨过河流最短路径）时，核心的几何变换是 _____。","平移 (Translation)。"
"反射配合平移技巧常用于解决具有什么特征的动点问题？","动点在平行线或特定步长上移动。 "
"在“三动点”将军饮马问题中，三角形周长的最小值与什么有关？","$2BF \sin \angle ABC$ (其中 $F$ 为定点，动点在两边上)。"
"边长为 $8$ 的等边三角形 $ABC$ 中，$D, E$ 在 $AB$ 上且 $DE=2$，则 $CD+CE$ 的最小值是 _____。","$14$。"
"在直角三角形 $ABC$（$3, 4, 5$）中，$D, E, F$ 分别在三边上，内接三角形周长 $DF+EF+DE$ 的最小值是 _____。","$4.8$。"
"在坐标平面中，$A(0,2)$，$D(9,3)$，$B$ 在 $x$ 轴上，$C$ 在 $B$ 右侧 $1$ 单位且下方 $1$ 单位，$AB+CD$ 的最小值是 _____。","$10$。"
"为了找到 $BC + k \times AC$ ($0 < k < 1$) 的最小值，关键思路是构造一个角 $\alpha$，使其满足 _____。","$\sin \alpha = k$。"
"概念：费马点 (Fermat's Point)","定义：三角形内到三个顶点距离之和最小的点。"
"在处理涉及多个动点的最值问题时，常用的高级技巧包括旋转图形和 _____。","位似变换 (Homothety)。"
"当题目中出现 $\angle B = 2\angle C$ 时，除了作角平分线，还可以考虑构造 _____。","斜边中线或三角形中位线。"
"在三角形 $ABC$ 中，若 $\angle ABC = 45^{\circ}$，$2 · BD = CD$ 且 $\angle DAB = 15^{\circ}$，则 $\angle ACB$ 为 _____。","$75^{\circ}$。"
"在 $\triangle ABC$ 中，$AB=AC=10$，$\tan A = 2$，$BE \perp AC$。动点 $D$ 在 $BE$ 上，其目的是寻找特定线段之和的 _____。","最小值。"
"位似变换 (Homothety) 通常在 AIME 竞赛的哪类几何题中应用？","涉及缩放图形或寻找特定比例点的问题。"
"“共角定理”或类似的面积比例问题通常需要构造什么辅助线？","连接顶点到对边的分点，构造共底或共高三角形。"
"在处理圆的切线长定理相关问题时，连接圆心和切点可以构造出两个 _____ 的直角三角形。","全等。"
"三角形中三条内角平分线的交点被称为什么？","内心 (Incenter)。"
"在梯形 $ABCD$ 中，$AD // BC$。若 $E$ 是 $CD$ 中点，$AE$ 和 $BE$ 分别平分两底角，则 $AB$ 与两底 $AD, BC$ 的关系是 _____。","$AB = AD + BC$。"
"通过构造辅助圆解决的问题通常具有哪些特征？","等距点（圆心定义）或相等的角（圆周角性质）。"
"如何通过构造辅助线利用“直径所对圆周角为直角”这一性质？","连接直径的两个端点与圆周上的动点。"
"在解决 $PA - PB$ 的绝对值最大值问题时（$P$ 在直线 $l$ 上），$P$ 点的位置应在 _____。","直线 $AB$ 与直线 $l$ 的交点处。"
"当 $A, B$ 在直线 $l$ 异侧时，$PA + PB$ 的最小值取得于 _____。","$A, B$ 连线与直线 $l$ 的交点。"
"在几何证明中，若给定 $\angle A + \angle C = 180^{\circ}$，则四边形 $ABCD$ 具有什么特性？","对角互补（圆内接四边形）。"
"倍长中线构造平行四边形法，本质上是利用了哪种几何变换？","中心对称变换。"
"“角平分线上的点到角两边的距离相等”这一性质通常需要构造什么辅助线？","向角两边作垂线。"
"在 $\triangle ABC$ 中，$AC = 3AB$，$CD \perp AO$（$AO$ 为角平分线）。求证 $AO = DO$ 的提示是 _____。","补全原图 (Construct the original figure)。"
"在 $\triangle ABC$ 中，$\angle B = 2\angle C$，$AD \perp BC$，$M$ 是 $BC$ 中点。若 $AB = 10$，则 $MD$ 的值为 _____。","$5$ (中位线或直角三角形性质)。"
