Front,Back
"解析几何（Analytical Geometry）也被称为什么？","坐标几何（Coordinate geometry）。"
"在二维笛卡尔坐标系中，第三象限（III-Quadrant）内点的坐标符号特征是什么？","横坐标和纵坐标均为负，即 $(-x, -y)$。"
"已知线段端点为 $(x_1, y_1)$ 和 $(x_2, y_2)$，其中点坐标 $(x_m, y_m)$ 的公式是什么？","$x_m = \frac{x_1+x_2}{2}$ 且 $y_m = \frac{y_1+y_2}{2}$。"
"计算两点 $P_1(x_1, y_1)$ 和 $P_2(x_2, y_2)$ 之间距离 $d$ 的公式是什么？","$d = \sqrt{(x_2 - x_1)^2 + (y_2 - y_1)^2}$。"
"分点公式：若 $P$ 在 $AB$ 上且 $\lambda = \frac{AP}{PB}$，则点 $P$ 的横坐标 $x$ 如何表示？","$x = \frac{x_1 + \lambda x_2}{1 + \lambda}$。"
"三角形三个顶点为 $A(x_1, y_1)$、$B(x_2, y_2)$ 和 $C(x_3, y_3)$，其重心 $G$ 的坐标公式是什么？","$(\frac{x_1+x_2+x_3}{3}, \frac{y_1+y_2+y_3}{3})$。"
"直线的斜截式方程（Slope-intercept form）是什么？","$y = mx + c$，其中 $m$ 是斜率，$c$ 是 $y$ 轴截距。"
"已知斜率为 $k$ 且经过点 $(x_1, y_1)$ 的直线点斜式方程是什么？","$y - y_1 = k(x - x_1)$。"
"已知直线经过 $(x_1, y_1)$ 和 $(x_2, y_2)$，其两点式方程（Two points form）如何表达？","$\frac{y-y_1}{x-x_1} = \frac{y_2-y_1}{x_2-x_1}$。"
"直线的截距式方程 $\frac{x}{a} + \frac{y}{b} = 1$ 中，$a$ 和 $b$ 分别代表什么？","$a$ 是 $x$ 轴截距，$b$ 是 $y$ 轴截距。"
"直线的一般式方程（General form）通常写成什么形式？","$Ax + By + C = 0$，且 $A^2 + B^2 \ne 0$。"
"直线的点向量式方程（Point vector form）为 $(x, y) = (x_1, y_1) + t \cdot \vec{d}$，其中 $\vec{d}$ 代表什么？","代表直线方向的向量。"
"若两条直线 $y_1 = k_1x + b_1$ 和 $y_2 = k_2x + b_2$ 平行，其斜率关系是什么？","$k_1 = k_2$。"
"若两条直线 $y_1 = k_1x + b_1$ 和 $y_2 = k_2x + b_2$ 垂直，其斜率满足什么等式？","$k_1 \times k_2 = -1$。"
"已知两直线的斜率为 $k_1$ 和 $k_2$，利用正切函数计算它们夹角 $\theta$ 的公式是什么？","$\tan(\theta) = |\frac{k_1 - k_2}{1 + k_1 \cdot k_2}|$。"
"已知两直线的方向向量为 $\vec{a}$ 和 $\vec{b}$，计算它们夹角 $\theta$ 的余弦公式是什么？","$\cos(\theta) = \frac{\vec{a} \cdot \vec{b}}{|\vec{a}||\vec{b}|}$。"
"点 $(x_0, y_0)$ 到直线 $Ax + By + C = 0$ 的距离公式是什么？","$d = \frac{|Ax_0 + By_0 + C|}{\sqrt{A^2 + B^2}}$。"
"两条平行线 $Ax + By + C_1 = 0$ 和 $Ax + By + C_2 = 0$ 之间的距离公式是什么？","$d = \frac{|C_1 - C_2|}{\sqrt{A^2 + B^2}}$。"
"圆的标准方程 $(x-a)^2 + (y-b)^2 = r^2$ 描述了怎样的圆？","圆心在 $(a, b)$，半径为 $r$ ($r > 0$) 的圆。"
"圆的一般方程 $x^2 + y^2 + Ax + By + C = 0$ 经过配方后，其圆心坐标是多少？","$(-\frac{A}{2}, -\frac{B}{2})$。"
"圆的一般方程 $x^2 + y^2 + Ax + By + C = 0$ 的半径公式是什么？","$r = \frac{\sqrt{A^2 + B^2 - 4C}}{2}$。"
"已知圆的直径两端点为 $(x_1, y_1)$ 和 $(x_2, y_2)$，该圆的方程是什么？","$(x - x_1)(x - x_2) + (y - y_1)(y - y_2) = 0$。"
"如何判断点 $P(x_0, y_0)$ 在圆 $(x-a)^2 + (y-b)^2 = r^2$ 之内？","点到圆心的距离 $d < r$。"
"判断直线与圆位置关系的常用方法包括判别式法和_____。","距离法（比较圆心到直线的距离 $d$ 与半径 $r$）。"
"若直线与圆相切，则圆心到直线的距离 $d$ 与圆半径 $r$ 的关系是 _____。","$d = r$。"
"圆心为 $O_1$、半径为 $R$ 的圆与圆心为 $O_2$、半径为 $r$ 的圆内切的条件是什么？","两圆心间距离 $d = |R - r|$。"
"若两圆外切，则圆心距 $d$ 与两圆半径 $R, r$ 的关系是什么？","$d = R + r$。"
"当两圆外离（$d > R + r$）时，共有多少条公切线？","4条。"
"两圆相交时，连接交点的直线称为什么？","公共弦（Common chord）。"
"公共弦与两圆心连线的位置关系是什么？","相互垂直。"
"已知两圆方程分别为 $C_1: x^2+y^2+D_1x+E_1y+F_1=0$ 和 $C_2: x^2+y^2+D_2x+E_2y+F_2=0$，若它们相交，其公共弦方程如何得出？","两方程相减，即 $(D_1-D_2)x + (E_1-E_2)y + F_1-F_2 = 0$。"
"什么是向量的“起点”（Tail）和“终点”（Head）？","起点是箭头的基点，终点是箭头的末端。"
"已知点 $A$ 和 $B$ 的位置向量分别为 $\vec{a}$ 和 $\vec{b}$，则向量 $\vec{AB}$ 等于什么？","$\vec{b} - \vec{a}$。"
"向量加法的几何法则主要有平行四边形法则和_____。","三角形法则。"
"若点 $P$ 的位置向量满足 $\vec{OP} = (1-\lambda)\vec{OA} + \lambda\vec{OB}$，且 $\lambda > 1$，则点 $P$ 位于何处？","点 $P$ 位于射线 $AB$ 上且在点 $B$ 之外。"
"在二维空间中，平面的一组基底（Basis）必须满足什么条件？","是一对不共线的向量。"
"平面中最常用的标准基底向量是 $\vec{i}$ 和 $\vec{j}$，它们分别代表什么？","$x$ 轴正方向和 $y$ 轴正方向的单位向量。"
"三角形重心 $G$ 的向量表示形式是什么（相对于起点 $O$）？","$\vec{G} = \frac{\vec{A} + \vec{B} + \vec{C}}{3}$。"
"公式：点 $(2, -3)$ 到直线 $3x - 4y - 12 = 0$ 的距离 $d$ 是多少？","$d = \frac{6}{5}$。"
"概念：格子点（Lattice point）的定义是什么？","在坐标系中横纵坐标均为整数的点。"
"若圆 $C_1$ 与 $C_2$ 的圆心距 $d < |R - r|$，则两圆的位置关系是什么？","大圆包含小圆（一圆在另一圆内部），无公切线。"
"若两圆相交，满足 $|R-r| < d < R+r$，则共有多少条公切线？","2条。"
"在三维空间中，三维笛卡尔坐标系由哪些坐标轴组成？","$x$ 轴、$y$ 轴和 $z$ 轴。"
"三维空间中的两点距离公式相比二维增加了哪项内容？","增加了 $z$ 轴分量的差方，即 $(z_2 - z_1)^2$。"
"向量的叉积（Cross Product）主要用于 AIME 竞赛中的哪类计算？","三维空间向量运算。"
"直线的方向向量 $\vec{d} = (l, m)$ 与该直线的斜率 $k$ 之间有什么关系？","$k = \frac{m}{l}$ (当 $l \ne 0$ 时)。"
"如果一个圆的直径两端点坐标已知，求圆心最快捷的方法是什么？","使用中点公式求两端点的中点。"
"如果两圆方程 $C_1$ 和 $C_2$ 相交，通过 $k_1C_1 + k_2C_2 = 0$ 可以表示什么？","所有经过这两个交点的圆族（圆束）。"
"判定点 $P$ 在圆上、圆外或圆内的唯一依据是比较 $d$ 与 $r$，其中 $d$ 是指什么？","点 $P$ 到圆心的距离。"
"如何证明三个顶点的重心 $G$ 满足 $\vec{GA} + \vec{GB} + \vec{GC} = \vec{0}$？","通过重心的向量坐标公式 $\vec{G} = \frac{\vec{A}+\vec{B}+\vec{C}}{3}$ 进行代数展开证明。"
