Front,Back
"复数的一般形式 $z = x + yi$ 中，$x$ 和 $y$ 必须满足什么条件？","$x$ 和 $y$ 必须是实数 ($x, y \in \mathbb{R}$)。"
"在复数 $z = x + yi$ 中，实部 $Re(z)$ 是指哪一部分？","实数 $x$。"
"在复数 $z = x + yi$ 中，虚部 $Im(z)$ 是指哪一部分？","实数 $y$。"
"两个复数相等的充要条件是什么？","它们的实部相等且虚部也相等。"
"计算复数加减法 $(x_1 + y_1i) \pm (x_2 + y_2i)$ 的规则是什么？","$(x_1 \pm x_2) + (y_1 \pm y_2)i$。"
"复数乘法 $(x_1 + y_1i)(x_2 + y_2i)$ 展开后的标准形式是什么？","$(x_1x_2 - y_1y_2) + (x_1y_2 + x_2y_1)i$。"
"复数 $z = a + bi$ 的共轭复数 $\bar{z}$（或 $z^*$）如何表示？","$\bar{z} = a - bi$。"
"如何将复数的商 $\frac{a + bi}{c + di}$ 化简为单一复数形式？","分子和分母同时乘以分母的共轭复数 $c - di$。"
"判定一个复数 $z$ 为实数的充要条件是什么？","$z = \bar{z}$。"
"判定一个非零复数 $z$ 为纯虚数 (Pure Imaginary) 的充要条件是什么？","$z = -\bar{z}$。"
"复数 $z = x + iy$ 的模 (Magnitude/Modulus) $|z|$ 的定义式是什么？","$|z| = \sqrt{x^2 + y^2}$。"
"利用共轭复数表示复数模的平方 $|z|^2$ 的公式是什么？","$|z|^2 = z \cdot \bar{z}$。"
"共轭根定理 (Conjugate Zeros Theorem) 指出，实系数多项式的虚根具有什么特征？","虚根总是成对出现的共轭复数。"
"线性与二次因子定理说明，实系数多项式总能分解为哪两类因子的乘积？","实系数的线性因子和不可约二次因子。"
"复数加法的三角不等式 (Triangle Inequality) 是如何表述的？","$|w| + |z| \ge |w + z|$。"
"在阿甘特图 (Argand Plane) 中，复数 $z = x + yi$ 对应坐标系中的哪一点？","对应点 $(x, y)$。"
"如果点 $P$ 的直角坐标为 $(x, y)$，其极坐标 $(r, \theta)$ 与 $x, y$ 的转换公式是什么？","$x = r \cos \theta$ 且 $y = r \sin \theta$。"
"复数的三角形式 (Trigonometric Representation) $z = r(\cos \theta + i \sin \theta)$ 简写为什么？","$z = r \text{ cis } \theta$。"
"在复数的三角形式中，$r$ 和 $\theta$ 分别被称为什么？","$r$ 是绝对值（模/幅值），$\theta$ 是幅角 (Argument)。"
"计算两个三角形式复数乘积 $z_1 z_2$ 时，它们的模和幅角如何变化？","模相乘 ($r_1 r_2$)，幅角相加 ($\theta_1 + \theta_2$)。"
"计算两个三角形式复数的商 $\frac{z_1}{z_2}$ 时，它们的模和幅角如何变化？","模相除 ($\frac{r_1}{r_2}$)，幅角相减 ($\theta_1 - \theta_2$)。"
"公式 $\text{arg}(z_1 z_2) = \text{arg}(z_1) + \text{arg}(z_2)$ 描述了复数运算的什么性质？","复数乘积的幅角等于各复数幅角之和。"
"复数 $z$ 的共轭 $\bar{z}$ 的幅角 $\text{arg}(\bar{z})$ 与 $z$ 的幅角有什么关系？","$\text{arg}(\bar{z}) = -\text{arg}(z)$。"
"若复数满足 $|z| = 1$，则其共轭复数 $\bar{z}$ 与 $z$ 的倒数有什么关系？","$\bar{z} = \frac{1}{z}$。"
"轨迹方程 $|z - c| = r$ 在复平面上表示什么图形？","以 $c$ 为圆心、$r$ 为半径的圆。"
"轨迹方程 $|z - a| = |z - b|$ 在复平面上表示什么图形？","连接 $a$ 和 $b$ 两点线段的垂直平分线。"
"轨迹方程 $\text{arg}(z) = \theta$ 表示什么几何图形？","从原点出发、与正 $x$ 轴夹角为 $\theta$ 的射线（不含原点）。"
"轨迹方程 $\text{arg}(\frac{z - a}{z - b}) = \theta$ 在几何上通常表示什么？","以 $a$ 和 $b$ 为端点的圆弧。"
"在轨迹方程 $\text{arg}(\frac{z - a}{z - b}) = \theta$ 中，若 $\theta < \frac{\pi}{2}$，轨迹是圆的哪一部分？","优弧 (Major arc)。"
"在轨迹方程 $\text{arg}(\frac{z - a}{z - b}) = \theta$ 中，若 $\theta > \frac{\pi}{2}$，轨迹是圆的哪一部分？","劣弧 (Minor arc)。"
"轨迹方程 $|z - a| = k|z - b|$（其中 $k > 0$ 且 $k \ne 1$）表示什么图形？","一个圆 (阿波罗尼斯圆)。"
"棣莫弗定理 (DeMoivre's Theorem) 对于正整数 $n$ 的表述是什么？","$[r(\cos \theta + i \sin \theta)]^n = r^n(\cos n\theta + i \sin n\theta)$。"
"欧拉公式 (Euler's Formula) 将复指数函数与三角函数联系起来的等式是什么？","$e^{i\theta} = \cos \theta + i \sin \theta$。"
"复数的指数形式 (Exponential Form) 是如何定义的？","$z = re^{i\theta}$。"
"利用指数形式，棣莫弗定理可以简洁地表示为什么？","$(re^{i\theta})^n = r^n e^{in\theta}$。"
"1 的 $n$ 次单位根 (nth Roots of Unity) 的一般公式是什么？","$e^{i\frac{2\pi k}{n}}$，其中 $k = 0, 1, 2, \dots, n-1$。"
"在复平面上，1 的 $n$ 次单位根在位置分布上有什么特点？","它们均匀分布在单位圆上，构成正 $n$ 边形的顶点。"
"计算 $i^{2006}$ 的值是多少？","$-1$。"
"若复数 $(a + 6i)(5 - 3i)$ 为实数，则实数 $a$ 的值是多少？","$10$。"
"复数 $z = -1 + i\sqrt{3}$ 的幅角 $\text{arg}(z)$ 是多少？","$\frac{2\pi}{3}$ (或 $120^\circ$)。"
"复数 $z = 1 - i$ 的模 $|z|$ 是多少？","$\sqrt{2}$。"
"证明 $w$ 是实数的一个常用几何条件是 $z_1, z_2, z_3, z_4$ 四点共圆，此时交叉比 $w = \frac{(z_1 - z_2)(z_3 - z_4)}{(z_4 - z_1)(z_2 - z_3)}$ 满足什么？","$w$ 是实数。"
"复数 $i$ 的平方根 (Square roots) 有哪些？","$\pm (\frac{\sqrt{2}}{2} + \frac{\sqrt{2}}{2}i)$。"
"多项式 $P(x) = x^2 + x + 1$ 的根在复数域中是什么？","$\frac{-1 \pm i\sqrt{3}}{2}$ (或 $\omega$ 和 $\omega^2$)。"
"如果 $z = r e^{i\theta}$，那么 $\frac{1}{z}$ 的指数形式是什么？","$\frac{1}{r} e^{-i\theta}$。"
"在三角应用中，$\cos \theta$ 可以用复指数 $e^{i\theta}$ 表示为什么？","$\frac{e^{i\theta} + e^{-i\theta}}{2}$。"
"在三角应用中，$\sin \theta$ 可以用复指数 $e^{i\theta}$ 表示为什么？","$\frac{e^{i\theta} - e^{-i\theta}}{2i}$。"
"若 $|z| = 3$，$\text{arg}(z) = \frac{\pi}{4}$，则 $z^2$ 的模和幅角分别是多少？","模为 $9$，幅角为 $\frac{\pi}{2}$。"
"复数 $z = x + yi$ 对应的向量从原点出发指向哪里？","指向点 $(x, y)$。"
"如何使用复数法证明 $\arctan(\frac{1}{2}) + \arctan(\frac{1}{3}) = \frac{\pi}{4}$？","计算 $(2+i)(3+i)$ 的幅角。"
"复数 $z$ 满足 $z = -\bar{z}$ 且 $z \ne 0$，在阿甘特图上这些点位于哪里？","虚轴上（不含原点）。"
"若多项式 $P(z) = z^3 + az^2 + bz + c$ 有实系数，且已知一个根为 $1+i$，另外两个根可能是什么？","$1-i$ 以及一个实数根。"
