Front,Back
"不等式的基本性质：若 $a > b$ 且 $b > c$，则 $a$ 与 $c$ 的关系是？","$a > c$"
"不等式的加法性质：若 $a > b$ 且 $c > d$，则 $a + c$ 与 $b + d$ 的关系是？","$a + c > b + d$"
"不等式的乘法性质：若 $a > b$ 且 $c > 0$，则 $ac$ 与 $bc$ 的关系是？","$ac > bc$"
"不等式的乘法性质：若 $a > b$ 且 $c < 0$，则 $ac$ 与 $bc$ 的关系是？","$ac < bc$"
"若 $a > b > 0$ 且 $n > 0$，则 $a^n$ 与 $b^n$ 的关系是？","$a^n > b^n$"
"绝对值不等式的等价形式：$|a| < b$ （其中 $b > 0$）等价于？","$-b < a < b$"
"绝对值不等式的等价形式：$|a| > b$ （其中 $b > 0$）等价于？","$a > b$ 或 $a < -b$"
"绝对值不等式的平方性质：$|a| < |b|$ 等价于？","$a^2 < b^2$"
"使用“区间法”解多项式不等式的第一步是什么？","将所有非零项移至等号一侧并进行因式分解。"
"在解不等式 $\frac{2x}{1-x} \ge 0$ 时，找到的分界点（零点）是哪些？","$x = 0$ 和 $x = 1$"
"基础不等式：对于任意正实数 $a, b$，$\frac{a+b}{2}$ 与 $\sqrt{ab}$ 的大小关系是？","$\frac{a+b}{2} \ge \sqrt{ab}$"
"绝对值三角不等式：$|a \pm b|$ 的上界和下界分别是？","$||a| - |b|| \le |a \pm b| \le |a| + |b|$"
"绝对值不等式 $|a + b| = |a| + |b|$ 成立的充要条件是？","$ab \ge 0$（即 $a, b$ 同号或至少一个为零）"
"绝对值不等式 $|a + b| = ||a| - |b||$ 成立的充要条件是？","$ab \le 0$（即 $a, b$ 异号或至少一个为零）"
"对于 $n$ 个实数 $a_1, a_2, \dots, a_n$，不等式 $|\sum_{i=1}^n a_i| \le \sum_{i=1}^n |a_i|$ 等号成立的条件是？","所有 $a_i$ 符号相同（即 $a_i a_j \ge 0$）"
"求 $y = |x - a_1| + |x - a_2| + \dots + |x - a_n|$ 的最小值，若 $n = 2m + 1$（奇数）且 $a_1 \le a_2 \le \dots \le a_n$，则 $x$ 取何值时 $y$ 最小？","$x = a_{m+1}$（中位数）"
"求 $y = |x - a_1| + \dots + |x - a_n|$ 的最小值，若 $n = 2m$（偶数）且 $a_1 \le \dots \le a_n$，则 $x$ 取何值时 $y$最小？","$a_m \le x \le a_{m+1}$"
"高斯函数（下取整）定义：$\lfloor x \rfloor$ 满足的范围是？","$\lfloor x \rfloor \le x < \lfloor x \rfloor + 1$"
"上取整函数 $\lceil x \rceil$ 满足的范围是？","$\lceil x \rceil - 1 < x \le \lceil x \rceil$"
"分数部分函数 $\{x\}$ 的定义是什么，以及值域是？","定义为 $x - \lfloor x \rfloor$，值域为 $[0, 1)$"
"下取整函数性质：$\lfloor x + y \rfloor - (\lfloor x \rfloor + \lfloor y \rfloor)$ 的可能取值是？","0 或 1"
"厄米特恒等式 (Hermite's Identity)：$\lfloor na \rfloor$ 等于哪些项的和？","$\sum_{k=0}^{n-1} \lfloor a + \frac{k}{n} \rfloor$"
"几何中的三角形不等式：三角形三边 $a, b, c$ 必须满足什么关系？","$a + b \ge c$（等号仅在退化三角形时成立）"
"平均值不等式中，$RMS$（平方平均数）的公式是？","$\sqrt{\frac{a_1^2 + a_2^2 + \dots + a_n^2}{n}}$"
"平均值不等式中，$AM$（算术平均数）的公式是？","$\frac{a_1 + a_2 + \dots + a_n}{n}$"
"平均值不等式中，$GM$（几何平均数）的公式是？","$\sqrt[n]{a_1 a_2 \dots a_n}$"
"平均值不等式中，$HM$（调和平均数）的公式是？","$\frac{n}{\frac{1}{a_1} + \frac{1}{a_2} + \dots + \frac{1}{a_n}}$"
"四大平均数（$RMS, AM, GM, HM$）的大小排序关系是？","$RMS \ge AM \ge GM \ge HM$"
"平均值不等式 $RMS \ge AM \ge GM \ge HM$ 中，等号成立的充要条件是？","$a_1 = a_2 = \dots = a_n$"
"幂平均不等式：若 $k_1 \ge k_2$，则 $k_1$ 次幂平均与 $k_2$ 次幂平均的关系是？","$\mu(k_1) \ge \mu(k_2)$"
"加权算术-几何平均不等式 (Weighted AM-GM) 的形式是？","$\frac{\sum c_i a_i}{\sum c_i} \ge \sqrt[\sum c_i]{\prod a_i^{c_i}}$"
"柯西-施瓦茨不等式 (Cauchy-Schwarz Inequality) 的标准形式是？","$(\sum a_i^2)(\sum b_i^2) \ge (\sum a_i b_i)^2$"
"柯西-施瓦茨不等式等号成立的几何条件是？","向量 $(a_1, \dots, a_n)$ 与 $(b_1, \dots, b_n)$ 平行"
"柯西-施瓦茨不等式的另一种形式：$(A_1 + \dots + A_n)(B_1 + \dots + B_n) \ge \dots$?","$(\sqrt{A_1 B_1} + \dots + \sqrt{A_n B_n})^2$"
"Titu's Lemma（提图斯引理）的表达式是？","$\sum_{i=1}^n \frac{a_i^2}{b_i} \ge \frac{(\sum a_i)^2}{\sum b_i}$"
"排序不等式 (Rearrangement Inequality)：设 $a_1 \le \dots \le a_n$ 且 $b_1 \le \dots \le b_n$，则哪种组合的乘积之和最大？","同序和（$\sum a_i b_i$）"
"排序不等式 (Rearrangement Inequality)：设 $a_1 \le \dots \le a_n$ 且 $b_1 \le \dots \le b_n$，则哪种组合的乘积之和最小？","反序和（$\sum a_i b_{n+1-i}$）"
"琴生不等式 (Jensen's Inequality)：若 $F$ 是凸函数且 $\sum a_i = 1$，则 $F(\sum a_i x_i)$ 与 $\sum a_i F(x_i)$ 的关系是？","$F(\sum a_i x_i) \le \sum a_i F(x_i)$"
"琴生不等式 (Jensen's Inequality)：若 $F$ 是凹函数，则 $F(\sum a_i x_i)$ 与 $\sum a_i F(x_i)$ 的关系是？","$F(\sum a_i x_i) \ge \sum a_i F(x_i)$"
"在三角形 $ABC$ 中，判断 $\sin A + \sin B + \sin C \le \frac{3\sqrt{3}}{2}$ 的依据是什么？","$\sin x$ 在 $(0, \pi)$ 上是凹函数，使用琴生不等式。"
"在三角形 $ABC$ 中，$\cos A \cos B \cos C$ 的最大值是？","$\frac{1}{8}$"
"利用三角形不等式证明柯西不等式时，通常考虑的是什么空间的距离？","$n$ 维空间中两点间的直线距离最短。"
"三角形性质：三角形中最大的角所对的边具有什么特征？","它对应三角形中最长的边。"
"若 $a, b, c, d$ 为正数且 $\frac{a}{b} < \frac{c}{d}$，则 $\frac{a}{b}, \frac{a+c}{b+d}, \frac{c}{d}$ 的大小关系是？","$\frac{a}{b} < \frac{a+c}{b+d} < \frac{c}{d}$"
"不等式 $3a^4 - 4a^3b + b^4 \ge 0$ 对所有实数 $a, b$ 都成立吗？","是"
"方程 $3x^2 + y^2 + z^2 = 2x(y + z)$ 的实数解三元组 $(x, y, z)$ 是？","$(0, 0, 0)$"
"三维盒子的表面积为 96，其体积的最大值是多少？","$64$（当盒子为正方体，边长为 4 时）"
