Front,Back
"如何计算连续整数列表 $a, a+1, \dots, b$ 中元素的个数？","计算公式为 $b - a + 1$。"
"在 $1$ 到 $n$ 的正整数中，能被 $k$ 整除的整数个数如何计算？","个数等于 $\lfloor \frac{n}{k} \rfloor$。"
"阶乘 $n!$ 的定义式是什么？","$n! = n \times (n-1) \times (n-2) \times \dots \times 3 \times 2 \times 1$。"
"阶乘的递推关系式 $\frac{(n+1)!}{n!}$ 等于什么？","等于 $n + 1$。"
"规定 $0!$ 的值是多少？","$0! = 1$。"
"排列（Permutation）的定义是什么？","从 $n$ 个对象中选取 $r$ 个对象并考虑其顺序的安排方式。"
"排列数公式 $P(n, r)$ 用阶乘表示是什么？","$P(n, r) = \frac{n!}{(n-r)!}$。"
"组合（Combination）的定义是什么？","从 $n$ 个对象中选取 $r$ 个对象而不考虑其顺序的选取方式。"
"组合数公式 $\binom{n}{r}$ 用排列数表示是什么？","$\binom{n}{r} = \frac{P(n, r)}{r!}$。"
"组合数公式 $\binom{n}{r}$ 用阶乘表示是什么？","$\binom{n}{r} = \frac{n!}{(n-r)! \times r!}$。"
"集合中符号 $\in$ 表示什么含义？","表示一个对象是该集合的元素。"
"什么是空集（Empty set）？","不包含任何元素的唯一集合，记作 $\emptyset$ 或 $\{\}$。"
"在集合论中，符号 $\mathbb{Z}$ 代表什么集合？","代表所有整数构成的集合。"
"在集合论中，符号 $\mathbb{Q}$ 代表什么集合？","代表所有有理数构成的集合。"
"若集合 $B$ 的所有元素都在集合 $A$ 中，则称 $B$ 是 $A$ 的 _____。","子集（Subset）"
"若 $B$ 是 $A$ 的子集且 $B \ne A$，则称 $B$ 是 $A$ 的 _____。","真子集（Proper subset）"
"包含 $n$ 个元素的集合共有多少个子集？","共有 $2^n$ 个子集。"
"集合的并集（Union）用符号如何表示？","用符号 $A \cup B$ 表示。"
"集合的交集（Intersection）用符号如何表示？","用符号 $A \cap B$ 表示。"
"集合 $A$ 的补集（Complement）表示什么？","由所有不属于 $A$ 的元素构成的集合。"
"德·摩根定律（De Morgan's laws）中并集的补集等于什么？","$\overline{A \cup B} = \overline{A} \cap \overline{B}$。"
