Front,Back
"幂函数（Power Function）的通用数学表达式是什么？","$f(x) = x^n$（其中 $n$ 为实数）。"
"所有的幂函数图像在第一象限内必定共同经过哪一个点？","$(1, 1)$。"
"当幂指数 $n > 0$ 时，幂函数在第一象限内的单调性如何？","始终单调递增。"
"当 $n > 1$ 时，幂函数在第一象限内的图像凹凸性呈现什么特征？","凹向上的（Concave upward）。"
"当 $0 < n < 1$ 时，幂函数在第一象限内的图像凹凸性呈现什么特征？","下凹/凸向上的（Concave downward）。"
"当幂指数 $n < 0$ 时，幂函数在第一象限内的单调性如何？","始终单调递减。"
"举出两个幂指数 $n$ 的取值，使得 $f(x) = x^n$ 为偶函数。","$n = 2, 4$（或 $-2$ 等）。"
"举出两个幂指数 $n$ 的取值，使得 $f(x) = x^n$ 为奇函数。","$n = 3, 5$（或 $-1, \frac{1}{3}$ 等）。"
"指数函数（Exponential Function）的通用定义形式是什么？","$f(x) = a^x$（其中底数 $a > 0$ 且 $a \ne 1$）。"
"指数法则：$a^m \cdot a^n$ 的化简结果是什么？","$a^{m+n}$。"
"指数法则：$\frac{a^m}{a^n}$ 的化简结果是什么？","$a^{m-n}$。"
"指数法则：$(a^m)^n$ 的化简结果是什么？","$a^{mn}$。"
"指数法则：$(ab)^n$ 的化简结果是什么？","$a^n b^n$。"
"指数法则：$(\frac{a}{b})^n$ 的化简结果是什么？","$\frac{a^n}{b^n}$。"
"分数指数法则：$a^{\frac{1}{n}}$ 对应的根式形式是什么？","$\sqrt[n]{a}$。"
"分数指数法则：$a^{\frac{m}{n}}$ 对应的根式形式是什么？","$\sqrt[n]{a^m}$。"
"负指数法则：$a^{-n}$ 的等价表达式是什么？","$\frac{1}{a^n}$。"
"辨析：$a^{m^n}$ 与 $(a^m)^n$ 是否相等？","不相等，$a^{m^n}$ 表示底数 $a$ 的指数为 $m^n$。"
"指数函数 $f(x) = a^x$ 的定义域（Domain）是什么？","全体实数 $\mathbb{R}$。"
"指数函数 $f(x) = a^x$ 的值域（Range）是什么？","$(0, \infty)$。"
"指数函数 $f(x) = a^x$ 的水平渐近线方程是什么？","$y = 0$（即 $x$ 轴）。"
"底数 $a > 1$ 时，指数函数 $f(x) = a^x$ 的单调性如何？","单调递增。"
"底数 $0 < a < 1$ 时，指数函数 $f(x) = a^x$ 的单调性如何？","单调递减。"
"所有的指数函数 $f(x) = a^x$ 图像必定经过 $y$ 轴上的哪一点？","$(0, 1)$。"
"数学常数 $e$ 是由表达式 $(1 + \frac{1}{n})^n$ 在什么条件下定义的？","当 $n$ 趋向于无穷大（$\infty$）时。"
"自然指数函数（Natural exponential function）是指以什么为底的指数函数？","以 $e$ 为底，即 $f(x) = e^x$。"
"对数函数（Logarithmic Function）的定义式如何与其指数形式对应？","$\log_a x = y \iff a^y = x$。"
"对数函数 $y = \log_a x$ 的定义域（Domain）是什么？","$x > 0$。"
"常用对数（Common logarithm）通常如何简写？","$\log x$ 或 $\lg x$（底数为 $10$）。"
"自然对数（Natural logarithm）的符号表示及底数是什么？","符号为 $\ln$，底数为 $e$。"
"对数基本规则：$a^{\log_a b}$ 等于什么？","$b$。"
"对数基本规则：$\log_a a^b$ 等于什么？","$b$。"
"对数加法规则：$\log_a M + \log_a N$ 等于什么？","$\log_a (MN)$。"
"对数减法规则：$\log_a M - \log_a N$ 等于什么？","$\log_a (\frac{M}{N})$。"
"对数幂次规则：$\log_a b^N$ 等于什么？","$N \log_a b$。"
"换底公式（Change of Base Formula）：$\log_a b$ 等于什么？","$\frac{\log_c b}{\log_c a}$（通常取 $c = 10$ 或 $c = e$）。"
"指数函数 $f(x) = a^x$ 与对数函数 $f^{-1}(x) = \log_a x$ 的图像关系是什么？","关于直线 $y = x$ 互为轴对称图像。"
"底数 $a > 1$ 时，若 $0 < x_1 < x_2$，则 $\log_a x_1$ 与 $\log_a x_2$ 的大小关系如何？","$\log_a x_1 < \log_a x_2$。"
"底数 $0 < a < 1$ 时，对数函数 $f(x) = \log_a x$ 的单调性如何？","单调递减。"
"对数不等式转换（$0 < a < 1$）：$\log_a x < y$ 等价于什么？","$x > a^y$。"
