Front,Back
"在几何术语中，锐角（Acute angle）是如何定义的？","锐角是小于 $90^\circ$ 的角。"
"在几何术语中，钝角（Obtuse angle）是如何定义的？","钝角是大于 $90^\circ$ 且小于 $180^\circ$ 的角。"
"度数为 $180^\circ$ 的角被称为什么角？","平角（Straight angle）。"
"优角（Reflex angle）的度数范围是多少？","优角是度数大于 $180^\circ$ 的角。"
"互为余角（Complementary angles）的两个角之和是多少？","两个角之和为 $90^\circ$。"
"互为补角（Supplementary angles）的两个角之和是多少？","两个角之和为 $180^\circ$。"
"什么是对顶角（Vertical angles）？","相交线交点处处于相对位置的一对角。"
"当两条直线被第三条直线（截线）所截时，位于截线同侧且在两条直线相同位置的一对角称为什么？","同位角（Corresponding angles）。"
"当两条直线被第三条直线所截时，位于截线两侧且都在两条直线内部（或都在外部）的一对角称为什么？","内错角或外错角（Alternate angles）。"
"若两条直线 $p$ 和 $q$ 平行，则它们的内错角具有什么关系？","内错角相等。"
"若两条直线 $p$ 和 $q$ 平行，则它们的同旁内角（Opposite angles）具有什么关系？","同旁内角互补（和为 $180^\circ$）。"
"证明：三角形的三个内角之和是多少度？","$180^\circ$。"
"三角形的一个外角与它不相邻的两个内角之间有什么关系？","三角形的一个外角等于与它不相邻的两个内角之和。"
"计算 $n$ 边形内角和的公式是什么？","$(n-2) \times 180^\circ$。"
"任意凸 $n$ 边形的外角和是多少度？","$360^\circ$。"
"三角形中，较大的边所对应的角有什么特点？","较大的边对应较大的角。"
"什么是三角形不等式（Triangle Inequality）？","三角形任意两边之和大于（或等于，指退化情况）第三边的长度。"
"证明三角形全等（Congruence）的五种常用方法有哪些？","SSS、SAS、ASA、AAS 和 HL。"
"为什么 SSA（边边角）不能作为判定三角形全等的通用准则？","因为给定两边和其中一边的对角可能构造出两个不同的三角形（大角对大边除外）。"
"线段垂直平分线上任意一点 $P$ 具有什么性质？","点 $P$ 到该线段两个端点的距离相等。"
"角平分线上任意一点 $P$ 具有什么性质？","点 $P$ 到角两边的距离相等。"
"判定三角形相似（Similarity）的三种主要方法是什么？","AA（两角对应相等）、SAS（两边成比例且夹角相等）和 SSS（三边成比例）。"
"如果两个图形相似，它们的面积比与对应边长比的关系是什么？","面积比等于对应边长比的平方。"
"如果两个几何体相似，它们的体积比与对应边长比的关系是什么？","体积比等于对应边长比的立方。"
"什么是位似变换（Homothety）？","一种以固定点为中心，按比例放大或缩小距离的变换。"
"在直角三角形 $ABC$ 中，若 $CD$ 是斜边 $AB$ 上的高，则 $CD^2$ 等于什么？","$CD^2 = AD \times BD$。"
"直角三角形斜边中线定理的内容是什么？","直角三角形斜边上的中线等于斜边长度的一半。"
"勾股定理（Pythagorean Theorem）的标准公式是什么？","$a^2 + b^2 = c^2$（其中 $c$ 为斜边）。"
"列举三组常见的勾股数（Pythagorean Triples）。","$(3, 4, 5)$、$(5, 12, 13)$ 和 $(8, 15, 17)$。"
"边长为 $a$ 的等边三角形的面积公式是什么？","$S = \frac{\sqrt{3}}{4} a^2$。"
"在 $45^\circ-45^\circ-90^\circ$ 的三角形中，斜边与直角边的长度比是多少？","$\sqrt{2} : 1$。"
"在 $30^\circ-60^\circ-90^\circ$ 的三角形中，短直角边、长直角边和斜边的比例是多少？","$1 : \sqrt{3} : 2$。"
"黄金三角形 $36^\circ-72^\circ-72^\circ$ 中，腰与底边的长度比是多少？","腰与底边的比为 $\frac{\sqrt{5}+1}{2}$（即底边与腰的比为 $\frac{\sqrt{5}-1}{2}$）。"
"边长分别为 $13, 14, 15$ 的三角形（Heronian Triangle）的高和面积分别是多少？","对应 $14$ 这条边的高为 $12$，总面积为 $84$。"
"平行四边形（Parallelogram）有哪些基本性质？","对边平行且相等，对角相等，角平分线互补，对角线互相平分。"
"判定一个平行四边形是菱形（Rhombus）的一个充分条件是什么？","对角线互相垂直（或一组邻边相等）。"
"判定一个平行四边形是矩形（Rectangle）的一个充分条件是什么？","有一个角是直角（或对角线相等）。"
"平行四边形定理（Parallelogram Theorem）关于对角线和边长的关系式是什么？","$AC^2 + BD^2 = AB^2 + BC^2 + CD^2 + DA^2$。"
"矩形 $ABCD$ 内部任意一点 $P$ 满足的距离平方关系式是什么？","$PA^2 + PC^2 = PB^2 + PD^2$。"
"三角形中位线定理（Midline Theorem）的内容是什么？","三角形两边中点的连线平行于第三边且等于第三边长度的一半。"
"梯形中位线（Midsegment）的长度如何计算？","长度等于上下底之和的一半：$EF = \frac{1}{2}(AB + CD)$。"
"正 $n$ 边形的每个内角（Interior angle）如何计算？","角度为 $\frac{(n-2) \times 180^\circ}{n}$。"
"正 $n$ 边形的每个外角（Exterior angle）或中心角如何计算？","角度为 $\frac{360^\circ}{n}$。"
"一个图形如果旋转 $180^\circ$ 后能与自身重合，称为什么对称？","中心对称或点对称（Point Symmetry）。"
"正 $n$ 边形有多少条对称轴（Lines of symmetry）？","$n$ 条。"
"正 $15$ 边形的最小正旋转对称角是多少度？","$24^\circ$（计算方法：$\frac{360^\circ}{15}$）。"
"如何通过三边长度判断 $\triangle ABC$ 的 $\angle C$ 是钝角？","当 $AB^2 > AC^2 + BC^2$ 时，$\angle C$ 是钝角。"
"角平分线定理（Angle Bisector Theorem）给出的比例关系是什么？","$\frac{BD}{DC} = \frac{AB}{AC}$（$D$ 点在 $BC$ 边上）。"
"正弦定理（Law of Sines）的完整表达式是什么？","$\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C} = 2R$（$R$ 为外接圆半径）。"
"余弦定理（Law of Cosines）中求 $a^2$ 的公式是什么？","$a^2 = b^2 + c^2 - 2bc \cos A$。"
"斯图尔特定理（Stewart's Theorem）的公式是什么？","$b^2m + c^2n = a(d^2 + mn)$（$d$ 为截割线，$m, n$ 为底边分段）。"
"利用斯图尔特定理推导的三角形中线长 $d$ 的公式是什么？","$d^2 = \frac{1}{2}(b^2 + c^2) - \frac{1}{4}a^2$。"
"如果 $AD$ 是 $\angle A$ 的角平分线，利用斯图尔特定理求得其长度 $d$ 的简化公式是什么？","$d = \sqrt{bc - mn}$。"
"Spread Angle Theorem（传播角定理）在 $\triangle ABC$ 中关于角平分线 $AD$ 的表达式是什么？","$\frac{\sin \angle BAD}{AC} + \frac{\sin \angle CAD}{AB} = \frac{\sin \angle BAC}{AD}$。"
"三角形内切圆半径 $r$、半周长 $p$ 与面积 $S$ 的关系式是什么？","$S = r \times p$。"
"在等边三角形中，内部任意一点到三边的垂直距离之和等于什么？","等于该等边三角形的高（Viviani's Theorem 相关的结论）。"
"Carnot's Theorem 关于三角形内一点 $P$ 向三边作垂线的线段平方和关系是什么？","$AQ^2 + BS^2 + CR^2 = AR^2 + BQ^2 + CS^2$。"
"什么是等角多边形（Equiangular Polygon）？","所有内角都相等的多边形。"
"什么是等边多边形（Equilateral Polygon）？","所有边长都相等的多边形。"
"一个多边形必须满足什么条件才能被称为正多边形（Regular Polygon）？","必须既是等角多边形又是等边多边形。"
"计算 $n$ 边形对角线总数的公式是什么？","$\frac{n(n-3)}{2}$。"
"两个圆外切时，圆心距与半径 $r_1, r_2$ 的关系是什么？","圆心距等于 $r_1 + r_2$。"
"直角三角形中 $\sin A$ 等于哪两条边的比值？","对边与斜边的比（$\frac{opp}{hyp}$）。"
