Front,Back
"不等式基本性质：如何通过减法判定 $a$ 大于 $b$？","$a > b \Leftrightarrow a - b > 0$"
"不等式基本性质：$\frac{a}{b} > 0$ 的充要条件是什么？","$ab > 0$"
"不等式基本性质：$\frac{a}{b} \ge 0$ 的等价形式是什么？","$ab \ge 0$ 且 $b \ne 0$"
"绝对值不等式性质：$|a| < b$ 等价于什么？","$-b < a < b$"
"绝对值不等式性质：$|a| > b$ 等价于什么？","$a > b$ 或 $a < -b$"
"绝对值不等式性质：$|a| < |b|$ 等价于什么？","$a^2 < b^2$"
"不等式乘法性质：若 $a > b$ 且 $c < 0$，则 $ac$ 与 $bc$ 的关系是？","$ac < bc$"
"不等式幂性质：若 $a > b > 0$ 且 $n > 0$，则 $a^n$ 与 $b^n$ 的关系是？","$a^n > b^n$"
"最大值与最小值：若对于任意 $x$ 都有 $f(x) < M$，则 $f(x)$ 的 $\_\_\_\_ < M$。","最大值"
"绝对值不等式：$|ax+b| < |cx+d|$ 通常使用什么方法转化为不含绝对值的不等式？","两边平方，即 $(ax+b)^2 < (cx+d)^2$"
"绝对值不等式：$|ax+b| < cx+d$ 的解法等价于解哪个连不等式？","$-(cx+d) < ax+b < cx+d$"
"二次不等式：当 $a > 0$ 且判别式 $\Delta < 0$ 时，$ax^2+bx+c > 0$ 的解集是？","全体实数 $R$"
"二次不等式：当 $a > 0$ 且判别式 $\Delta < 0$ 时，$ax^2+bx+c \le 0$ 的解集是？","空集 $\emptyset$"
"二次不等式：$\forall x, ax^2+bx+c > 0$ ($a \ne 0$) 成立的充要条件是什么？","$a > 0$ 且 $\Delta = b^2 - 4ac < 0$"
"基本不等式：对于实数 $x, y$，恒有 $x^2 + y^2 \ge \_\_\_\_$。","$2xy$"
"算术几何平均不等式应用：若 $a, b$ 为实数（可正可负），则 $ab \le \_\_\_\_$。","$\frac{(a+b)^2}{4}$"
"均值不等式变体：若 $a > 0$，则 $a + \frac{1}{a}$ 的最小值是？","2"
"三项平方不等式：$a^2 + b^2 + c^2$ 与 $ab + bc + ac$ 的大小关系是？","$a^2 + b^2 + c^2 \ge ab + bc + ac$"
"因式分解公式：$x^n - y^n$ 的通用展开式是什么？","$(x-y)(x^{n-1} + x^{n-2}y + \dots + xy^{n-2} + y^{n-1})$"
"因式分解公式：$x^{2n+1} + y^{2n+1}$ 的通用展开式是什么？","$(x+y)(x^{2n} - x^{2n-1}y + \dots - xy^{2n-1} + y^{2n})$"
"赛蒙最爱因式分解技术 (SFFT)：$xy + ax + by + ab$ 的分解形式是？","$(x+b)(y+a)$"
"因式分解恒等式：$xyz + xy + yz + zx + x + y + z + 1$ 等于？","$(x+1)(y+1)(z+1)$"
"苏菲·热尔曼恒等式 (Sophie Germain's Identity)：$x^4 + 4y^4$ 如何分解？","$(x^2+2xy+2y^2)(x^2-2xy+2y^2)$"
