Front,Back
"在同圆或等圆中，弦长相等与圆心角、弧长、圆周角之间是什么关系？","它们彼此互为充要条件（等弦 $\Leftrightarrow$ 等弧 $\Leftrightarrow$ 等圆心角 $\Leftrightarrow$ 等圆周角）。"
"给出圆弧长度 $l$ 的计算公式（其中 $r$ 为半径，$\theta$ 为弧度）。","$l = r\theta$"
"给出扇形面积 $A$ 的计算公式（其中 $r$ 为半径，$\theta$ 为弧度）。","$A = \frac{1}{2}r^2\theta = \frac{1}{2}lr$"
"在圆中，由两条半径 $r$ 及其夹角 $\theta$ 构成的三角形面积公式是什么？","$A = \frac{1}{2}r^2 \sin \theta$"
"圆弧与其对应的弦之间围成的图形称为什么？","弓形（Segment）。"
"给出弓形面积的通用计算公式（使用半径 $r$ 和圆心角 $\theta$ 表达）。","$A = \frac{1}{2}r^2(\theta \pm \sin \theta)$"
"“星际迷航”定理（'Star Trek' Theorem）描述了圆心角与同弧所对圆周角的什么数量关系？","圆心角是圆周角的两倍。"
"圆周角定理指出，同弧所对的所有圆周角具有什么性质？","这些圆周角全部相等。"
"圆的切线与过切点的半径之间的夹角是多少度？","$90^{\circ}$"
"弦切角定理（Tangent Chord Theorem）指出，切线与弦所夹的角等于什么？","该角等于所夹弧所对圆周角的一半（或该弧度数的一半）。"
"圆内接四边形的对角具有什么数量关系？","对角互补（之和为 $180^{\circ}$）。"
"圆内接四边形的一个外角与其相对的内角之间有什么关系？","外角等于其相对的内角（内对角）。"
"若两条割线 $AXP$ 和 $BYP$ 在圆外相交于点 $P$，则 $\angle APB$ 的度数如何通过弧度数表示？","$\angle APB = \frac{1}{2}(\text{arc } AOB - \text{arc } XOY)$"
"若两条弦 $AC$ 和 $BD$ 在圆内相交于点 $P$，则 $\angle APB$ 的度数如何表示？","$\angle APB = \frac{1}{2}(\text{arc } AOB + \text{arc } COD)$"
"在 $\triangle ABC$ 中，$AE$ 是外接圆的直径，$CD \perp AB$ 于 $D$，写出关于 $AC, BC, AE, CD$ 的等积式。","$AC \times BC = AE \times CD$"
"在半圆中，若 $AG \perp$ 直径 $EF$ 且 $G$ 在直径上，点 $B$ 和 $K$ 在半圆弧上满足特定几何关系，结论 $AE^2 = EB \times EK$ 成立的条件通常涉及相似三角形。","该命题通常通过证明 $\triangle AEB \sim \triangle AKE$ 来实现。"
"两圆内切于点 $A$，直线 $BDC$ 与小圆相切，则射线 $AD$ 对 $\angle BAC$ 有什么作用？","$AD$ 平分 $\angle BAC$。"
"两圆 $\Gamma_1$ 和 $\Gamma_2$ 交于 $A, B$ 两点，过 $A$ 的直线交两圆于 $P, Q$。当 $PQ$ 达到最大长度时，$PQ$ 与连心线的位置关系是什么？","$PQ$ 平行于两圆的连心线。"
"$D$ 是弧 $AC$ 的中点，$B$ 是弧 $CD$ 上一点，$DE \perp AB$ 于 $E$，证明线段 $AE, EB, BC$ 之间的关系。","$AE = EB + BC$"
"垂直平分弦的直径定理中，若一条直线过圆心且垂直于弦，它还会平分什么？","它会平分该弦及其所对的优弧和劣弧。"
"从圆外一点 $P$ 向圆引两条切线 $PT$ 和 $PS$，则这两条切线的长度关系如何？","$PS = PT$（切线长相等）。"
"点 $P$ 在圆外，$PT, PS$ 为切线，$O$ 为圆心，则直线 $OP$ 与 $\angle TPS$ 的关系是什么？","$OP$ 平分 $\angle TPS$。"
"两圆半径分别为 $R$ 和 $r$，圆心距为 $d$，若 $d > R + r$，则两圆的位置关系是？","外离（Off）。"
"当两圆的圆心距 $d$ 等于半径之和 $R + r$ 时，它们的位置关系是？","外切（Externally tangent）。"
"若 $|R - r| < d < R + r$，则两圆的位置关系是？","相交（Intersect）。"
"当圆心距 $d = |R - r|$ 且 $d \ne 0$ 时，两圆的位置关系是？","内切（Internally tangent）。"
"若两圆圆心距 $d = 0$，则称这两圆为 _____。","同心圆（Concentric circles）。"
"处理涉及圆或球体相切的问题时，最关键的辅助线通常是什么？","连接圆心（或球心）与切点，利用垂直关系。"
"在直角三角形 $ABC$（$\angle C = 90^{\circ}$）中，其内切圆半径 $r$ 与三边 $a, b, c$ 的简易关系式是什么？","$r = \frac{a + b - c}{2}$"
"利用面积 $s$ 和周长的一半 $p$ 表示直角三角形内切圆半径 $r$ 的公式是什么？","$r = \frac{s}{p}$"
"若两个半径分别为 $r_1$ 和 $r_2$ 的圆外切，且都与一直线相切，在这两圆与直线间填入一个与之都外切的小圆 $r$，则三个半径的关系是？","$\frac{1}{\sqrt{r}} = \frac{1}{\sqrt{r_1}} + \frac{1}{\sqrt{r_2}}$"
"笛卡尔定理（Descartes Theorem）主要用于计算什么？","四个两两相切的圆的半径关系。"
"什么是圆的“根轴”（Radical Axis）？","平面内到两圆幂相等的点的轨迹（通常是两圆交点的连线）。"
"在计算两半径分别为 9 和 4 且外切的圆的公切线 $BC$ 长度时，结果是多少？","$12$ (公式为 $2\sqrt{Rr}$)。"
"圆内接六边形边长依次为 22, 22, 20, 22, 22, 20，这反映了圆的什么对称性质？","该六边形具有关于过中心且平行于边长为20的边的直线的对称性。"
"若一个四边形内接于半径为 $200\sqrt{2}$ 的圆，且三边长均为 200，求第四边。该题通常考查什么知识点？","考查圆内接四边形的边角关系及正弦定理。"
"对于层叠构造的切圆问题（如 Layer $L_k$），通常使用哪种几何工具简化计算？","通常使用笛卡尔定理或复数坐标法（福特圆性质）。"
"在同圆中，若两弦到圆心的距离相等，则这两条弦的关系是？","这两条弦长度相等。"
"圆的切线与通过切点的割线所构成的角被称作 _____。","弦切角。"
"两个圆相切时，它们的切点必定位于 _____ 之上。","连心线。"
"“Power of a Point”（方幂定理）在圆外点 $P$ 处的表现形式是什么？","$P$ 到圆的最短距离与最长距离之积（即割线段乘积或切线长的平方）。"
"若四边形 $ABCD$ 的对角 $A$ 和 $C$ 互补，则该四边形必然具有什么几何特性？","它是圆内接四边形（四点共圆）。"
"计算圆弧对应的扇形面积时，角度 $\theta$ 必须采用什么单位？","弧度（Radians）。"
"在圆中，直径所对的圆周角始终是多少度？","$90^{\circ}$"
"若已知两圆外切，且半径分别为 $r_1$ 和 $r_2$，则它们的中心距 $d$ 是多少？","$d = r_1 + r_2$"
"在 AIME 竞赛中，涉及三角形内切圆半径的问题通常会联系到三角形的哪些属性？","面积与半周长。"
"如果一个圆的半径增加了 $k$ 倍，那么它的周长会增加多少倍？","$k$ 倍。"
"判定一个四边形是圆内接四边形的方法之一是：一个内角等于其 _____ 的外角。","对角。"
"圆的一条弦长度等于半径时，该弦所对的圆心角是多少弧度？","$1$ 弧度（约为 $60^{\circ}$ 的等边三角形情况）。"
"两个等圆相交，公共弦与连心线的关系是什么？","它们互相垂直平分。"
