Front,Back
"数论（Number Theory）在最基础层面上研究哪两类数的性质？","整数 $\mathbb{Z}$ 或自然数 $\mathbb{N}$。"
"同余的定义：如果两个整数 $a$ 和 $b$ 的差是 $m$ 的倍数，我们称它们模 $m$ _____。","同余（congruent 或 equivalent）"
"符号 $a \equiv b \pmod{m}$ 表示 $a$ 和 $b$ 在什么条件下相等？","$a - b$ 是 $m$ 的整数倍。"
"什么是 $n$ 的模 $m$ 余数（modulo-$m$ residue） $r$？","满足 $n \equiv r \pmod{m}$ 且 $0 \le r < m$ 的整数 $r$。"
"同余的传递性：若 $a \equiv b \pmod{m}$ 且 $b \equiv c \pmod{m}$，则有 _____。","$a \equiv c \pmod{m}$"
"同余的加法规则：若 $a_1 \equiv a_2 \pmod{m}$ 且 $b_1 \equiv b_2 \pmod{m}$，则 $(a_1 + b_1) \equiv$ _____。","$a_2 + b_2 \pmod{m}$"
"同余的乘法规则：若 $a_1 \equiv a_2 \pmod{m}$ 且 $b_1 \equiv b_2 \pmod{m}$，则 $a_1 b_1 \equiv$ _____。","$a_2 b_2 \pmod{m}$"
"同余的幂规则：若 $a_1 \equiv a_2 \pmod{m}$，则对于正整数 $n$ 有 $a_1^n \equiv$ _____。","$a_2^n \pmod{m}$"
"计算 $12^{100}$ 除以 $11$ 的余数，首先应利用哪种同余替换？","$12 \equiv 1 \pmod{11}$"
"计算 $21^{100} \pmod{11}$ 时，将基数 $21$ 替换为较小余数的结果是多少？","$(-1)^{100}$ 或 $10^{100}$。"
"求一个数的个位数字（units digit）相当于求该数模 _____ 的余数。","$10$"
"求一个数的十位数字（tens digit）相当于求该数模 _____ 的余数。","$100$"
"同余方程 $a_n x^n + \dots + a_0 \equiv 0 \pmod{m}$ 的解是什么类型的数？","满足方程的整数或模 $m$ 的剩余类。"
"同余方程 $x^2 \equiv -1 \pmod 5$ 的解是什么？","$x \equiv 2$ 或 $3 \pmod 5$。"
"对于非质数模数，同余方程的解的个数与方程次数有何关系？","解的个数可能大于方程的次数。"
"线性同余方程（Linear Congruence Equation）的定义是什么？","变量的最高次数仅为 $1$ 次的同余方程。"
"在模 $m$ 意义下，整数 $r$ 的逆元（inverse） $r^{-1}$ 满足什么条件？","$r \cdot r^{-1} \equiv 1 \pmod{m}$"
"模 $m$ 剩余 $r$ 拥有唯一逆元的充要条件是什么？","$\gcd(m, r) = 1$。"
"线性同余方程 $ax \equiv b \pmod{m}$ 有解的充要条件是什么？","$\gcd(a, m) \mid b$（即 $a$ 与 $m$ 的最大公约数能整除 $b$）。"
"若 $d = \gcd(a, m)$ 且 $d \mid b$，则 $ax \equiv b \pmod{m}$ 可以简化为什么形式？","$a_1 x \equiv b_1 \pmod{m_1}$，其中 $a_1 = a/d, b_1 = b/d, m_1 = m/d$。"
"在同余运算中，欧几里得算法（Euclidean Algorithm）的核心原理是什么？","$\gcd(m, n) = \gcd(r, n)$，其中 $r$ 是 $m$ 除以 $n$ 的余数。"
"扩展欧几里得算法（Extended Euclidean Algorithm）在求逆元时的主要用途是什么？","寻找整数 $x, y$ 使得 $ax + my = \gcd(a, m)$。"
"什么是模 $m$ 的完全剩余系（Complete Residue System）？","一组模 $m$ 互不同余且任意整数都与其中之一同余的整数集合。"
"什么是模 $m$ 的简化剩余系（Reduced Residue System）？","一组模 $m$ 互不同余、均与 $m$ 互质且任意与 $m$ 互质的整数都与之同余的集合。"
"欧拉函数 $\phi(n)$ 的定义是什么？","不大于 $n$ 且与 $n$ 互质的正整数的个数。"
"若 $n = p_1^{k_1} p_2^{k_2} \dots p_m^{k_m}$，则 $\phi(n)$ 的计算公式是什么？","$\phi(n) = n \prod_{i=1}^m (1 - \frac{1}{p_i})$"
"$\phi(10)$ 的计算结果是多少？","$4$。"
"$\phi(300)$ 的计算结果是多少？","$80$。"
"欧拉定理（Euler's Theorem）的内容是什么？","若 $\gcd(a, n) = 1$，则 $a^{\phi(n)} \equiv 1 \pmod{n}$。"
"根据欧拉定理，在模 $n$ 意义下约简幂次 $a^x$ 时，指数 $x$ 应模什么进行化简？","模 $\phi(n)$。"
"费马小定理（Fermat's Little Theorem）在 $p$ 为质数时的基本形式是什么？","$a^p \equiv a \pmod{p}$。"
"当质数 $p$ 不能整除 $a$ 时，费马小定理的常用等价形式是什么？","$a^{p-1} \equiv 1 \pmod{p}$。"
"利用组合数学证明费马小定理时，通常使用哪种模型？","$p$ 颗珠子的项链着色模型。"
"阶（order） $\text{ord}_m(a)$ 的定义是什么？","满足 $a^h \equiv 1 \pmod{m}$ 的最小正整数 $h$。"
"阶的前提条件：只有当 $\gcd(a, m)$ 为 _____ 时，阶才存在。","$1$"
"性质：$a^n \equiv 1 \pmod{m}$ 当且仅当 $\text{ord}_m(a)$ 满足什么条件？","$\text{ord}_m(a) \mid n$。"
"性质：对于任意与 $m$ 互质的 $a$，阶 $\text{ord}_m(a)$ 一定能整除 _____。","$\phi(m)$"
"性质：若 $a$ 的阶为 $h$，$b$ 的阶为 $k$，且 $\gcd(h, k) = 1$，则 $ab$ 的阶是多少？","$hk$"
"阶的应用：分数 $1/n$ 在 $b$ 进制下循环节的长度与什么有关？","与 $b$ 模 $n$ 的阶 $\text{ord}_n(b)$ 有关。"
"中国剩余定理（Chinese Remainder Theorem）要求同余方程组的模数 $m_1, m_2, \dots, m_k$ 满足什么条件？","两两互质（pairwise relatively prime）。"
"根据中国剩余定理，满足条件的同余方程组在模 $M = m_1 m_2 \dots m_k$ 意义下有几个解？","唯一解。"
"中国剩余定理存在性证明中，$N_i$ 的定义是什么？","$N_i = M / m_i$（即除了 $m_i$ 之外所有模数的乘积）。"
"中国剩余定理构造解时，$H_i$ 是指什么？","$N_i$ 模 $m_i$ 的乘法逆元。"
"求解方程组 $x \equiv 1 \pmod 2, x \equiv 3 \pmod 5$ 的一种简便方法是将其写成 $x = 5b + 3$，然后代入第一个同余式求 _____。","整数 $b$ 的取值。"
"若 $n = p_1^{e_1} \dots p_r^{e_r}$，则模 $n$ 的同余方程 $f(x) \equiv 0 \pmod n$ 的解数等于什么？","各分量 $f(x) \equiv 0 \pmod{p_i^{e_i}}$ 的解数的乘积。"
"如何通过同余证明 $x^2 \equiv -1 \pmod p$ 在 $p = 4k + 3$ 型质数下无解？","利用费马小定理可知 $x^{p-1} \equiv 1 \pmod p$，而 $(-1)^{(p-1)/2} = (-1)^{2k+1} = -1$，产生矛盾。"
"$\text{ord}_9(2)$ 的值是多少？","$6$。"
"$\text{ord}_7(2)$ 的值是多少？","$3$。"
"$\text{ord}_{11}(2)$ 的值是多少？","$10$。"
"$\text{ord}_{77}(2)$ 的计算逻辑：应为 $\text{lcm}(\text{ord}_7(2), \text{ord}_{11}(2))$，结果是多少？","$30$。"
"证明：若 $p$ 为质数，则 $2^p - 1$ 的每一个质因数 $q$ 都大于 $p$。其中的关键步骤是说明 $\text{ord}_q(2)$ 等于多少？","$p$。"
"计算 $N = 123456...4344$ 除以 $45$ 的余数，可以拆分为模哪两个互质数的余数？","模 $5$ 和模 $9$。"
"求一个自然数除以 $66$ 的余数，若已知其除以 $11$ 和 $12$ 的余数，该方法基于什么定理？","中国剩余定理（CRT）。"
"同余方程 $x^2 \equiv 1 \pmod{15}$ 的解有哪些？","$x \equiv \pm 1, \pm 4 \pmod{15}$。"
"同余规则：若 $a_1 \equiv a_2 \pmod m$ 且 $n_1 \equiv n_2 \pmod m$ 是否一定成立？","不一定。同余不能直接应用于指数位置（除非模数改为 $\phi(m)$）。"
"在 $b$ 进制下，整数 $k$ 的整除规则通常与 $k$ 模 $b$ 的什么性质相关？","阶（order）。"
"如何判断 $21^{100} - 12^{100}$ 是否为 $11$ 的倍数？","检查 $21^{100} - 12^{100} \equiv 1 - 1 \equiv 0 \pmod{11}$。"
"若 $\gcd(a, m) = 1$，$a$ 的逆元 $a^{-1}$ 在模 $m$ 意义下是否唯一？","是，它是唯一的。"
"线性同余方程 $5x \equiv 1 \pmod{10}$ 是否有解？","无解，因为 $\gcd(5, 10) = 5$ 不能整除 $1$。"
"欧拉函数性质：对于质数 $p$，$\phi(p)$ 等于多少？","$p - 1$。"
"若同余方程组的模数不互质，是否一定能应用中国剩余定理？","不一定，标准 CRT 仅适用于模数两两互质的情况。"
"计算 $7^{7^7} \pmod{10}$ 时，应先求 $7^7$ 模多少的余数？","模 $\phi(10) = 4$。"
"在同余方程 $ax \equiv b \pmod m$ 中，若 $\gcd(a, m) = 1$，如何直接解出 $x$？","$x \equiv b \cdot a^{-1} \pmod m$。"
"欧拉函数计算实例：$\phi(20)$ 等于多少？","$20 \times (1 - 1/2) \times (1 - 1/5) = 8$。"
"费马小定理的一个重要用途是简化大型底数在大质数模下的什么运算？","幂运算（Powering）。"
